base_model,task,module,layer,module_type,rank,lora_frobenius_norm,hns_frobenius_norm,gamma_hns_matched,lora_nuclear_norm,lora_spectral_hhi,ideal_flat_gamma,gamma_to_ideal_flat_ratio,lora_top1_nuclear_share,lora_top1_energy_share,lora_top4_energy_share,lora_effective_rank,adapter_global_gamma,gamma_minus_global
Qwen3-8B,magicoder,base_model.model.model.layers.14.self_attn.q_proj,14,q_proj,16,0.11418578610773701,0.08059868437133591,0.705855668369171,0.3223462412133813,0.125481260148399,0.7057494899348504,1.0001504477662895,0.277975631919992,0.6157927633969872,0.864508545502743,11.425529843087906,0.5216498252446977,0.1842058431244733
Qwen3-8B,magicoder,base_model.model.model.layers.14.self_attn.v_proj,14,v_proj,16,0.06225591160342835,0.037447149470448284,0.6015035119714819,0.14978286460973322,0.17275750733664216,0.6014804889688776,1.000038277222664,0.3625928707852492,0.7610296766327714,0.935410487119109,9.471207773856086,0.5216498252446977,0.07985368672678417
Qwen3-8B,magicoder,base_model.model.model.layers.15.mlp.down_proj,15,down_proj,16,0.1431770132623632,0.08312451023824033,0.5805716179169047,0.3324541123583913,0.18547405985063262,0.5804949146222048,1.0001321343094793,0.389107871102348,0.8163132649154933,0.9358990993937132,9.361384025336294,0.5216498252446977,0.058921792672206985
Qwen3-8B,magicoder,base_model.model.model.layers.15.mlp.gate_proj,15,gate_proj,16,0.2670647804227586,0.18081106899604008,0.6770307515270996,0.7232209779322147,0.1363613233476585,0.6770089421631797,1.0000322142922518,0.3192271639670951,0.7473232124233744,0.8605472656073718,11.42514952386651,0.5216498252446977,0.15538092628240185
Qwen3-8B,magicoder,base_model.model.model.layers.15.mlp.up_proj,15,up_proj,16,0.2371857711614333,0.16195208253734836,0.6828069059299539,0.6477448418736458,0.13408164745371853,0.6827399876284926,1.0000980143285494,0.30839976346130493,0.7093469979612121,0.8699716641229804,11.35948666971358,0.5216498252446977,0.16115708068525614
Qwen3-8B,magicoder,base_model.model.model.layers.15.self_attn.k_proj,15,k_proj,16,0.04828267919437386,0.03643979711831128,0.7547177937581688,0.1457456974312663,0.10974664092142922,0.7546479392979156,1.000092565627779,0.21995875080900454,0.44085041374610917,0.8433952787930028,12.037188648401143,0.5216498252446977,0.2330679685134711
Qwen3-8B,magicoder,base_model.model.model.layers.15.self_attn.o_proj,15,o_proj,16,0.14266702699387485,0.09088419269114391,0.6370371248785177,0.36350338999181986,0.15403885846966953,0.6369786306814718,1.0000918307055031,0.3425518522714911,0.7617673401399182,0.9020092836057917,10.411248597963501,0.5216498252446977,0.11538729963382
Qwen3-8B,magicoder,base_model.model.model.layers.15.self_attn.q_proj,15,q_proj,16,0.119345456918516,0.0798245190101905,0.6688525987603473,0.3192594372667372,0.13974114435598023,0.6687716598309937,1.0001210262548716,0.30680341251766813,0.6735906906036312,0.8912523983000014,10.72926173382045,0.5216498252446977,0.1472027735156496
Qwen3-8B,magicoder,base_model.model.model.layers.15.self_attn.v_proj,15,v_proj,16,0.06980082681301666,0.04224493394712832,0.6052211109231497,0.1689621787518263,0.17066408311809217,0.6051582282988005,1.000103911045754,0.36051781617064915,0.7615726367364493,0.9252682974860306,9.454533335013782,0.5216498252446977,0.08357128567845196
Qwen3-8B,magicoder,base_model.model.model.layers.16.mlp.down_proj,16,down_proj,16,0.18678186411631473,0.09214048625135053,0.4933053146635899,0.36852884385734797,0.2568777221251478,0.49326101011050766,1.0000898196941865,0.48390873204219875,0.9115919395789596,0.9640176751269085,7.626993254879746,0.5216498252446977,-0.028344510581107818
Qwen3-8B,magicoder,base_model.model.model.layers.16.mlp.gate_proj,16,gate_proj,16,0.3428362321744447,0.20691191893440883,0.6035299058739108,0.8275423813611269,0.1716298952577745,0.6034531240414885,1.000127237442915,0.3710597419463084,0.8022223161440991,0.9176137089115725,9.930250687560891,0.5216498252446977,0.08188008062921304
Qwen3-8B,magicoder,base_model.model.model.layers.16.mlp.up_proj,16,up_proj,16,0.3034096732749743,0.17129781095794686,0.564575971190948,0.6850961353629827,0.1961353208673429,0.564497604812762,1.0001388249968075,0.4133322676691805,0.8710494506601286,0.9261763681910404,9.387598708524468,0.5216498252446977,0.04292614594625033
Qwen3-8B,magicoder,base_model.model.model.layers.16.self_attn.k_proj,16,k_proj,16,0.05472580636407401,0.043329665056985905,0.7917592802329294,0.17329642549157143,0.09972524898503805,0.7916577068717976,1.000128304645114,0.21329384257862474,0.4561960360588393,0.7917805834153615,12.751321207966893,0.5216498252446977,0.2701094549882317
Qwen3-8B,magicoder,base_model.model.model.layers.16.self_attn.o_proj,16,o_proj,16,0.13640395327863947,0.08571248898992954,0.62837246963686,0.34282224625349045,0.15831276065881916,0.6283216835240647,1.0000808282033344,0.35707963408374227,0.8054048489001338,0.8905065048189135,10.556507574303508,0.5216498252446977,0.10672264439216228
Qwen3-8B,magicoder,base_model.model.model.layers.16.self_attn.q_proj,16,q_proj,16,0.1361754415245143,0.08699446108817087,0.6388410429534765,0.3479404216632247,0.15317497328040233,0.638772339872657,1.0001075548775848,0.3440338359461454,0.7727063876104002,0.8969172926156305,10.590856389497175,0.5216498252446977,0.11719121770877883
Qwen3-8B,magicoder,base_model.model.model.layers.16.self_attn.v_proj,16,v_proj,16,0.06650676539923842,0.038700917403987505,0.5819094820153542,0.15478651120793074,0.18461433873841554,0.5818449832838481,1.0001108520883724,0.3745716651233511,0.7599839387994659,0.9394195036543007,8.923593666363534,0.5216498252446977,0.06025965677065648
Qwen3-8B,magicoder,base_model.model.model.layers.17.mlp.down_proj,17,down_proj,16,0.19132171018319008,0.09487710409437454,0.49590349157724933,0.379478694871068,0.25418722040889474,0.4958646544970224,1.0000783219369938,0.47081984396165233,0.8720789546834263,0.9707678650075134,7.377688453344638,0.5216498252446977,-0.025746333667448384
Qwen3-8B,magicoder,base_model.model.model.layers.17.mlp.gate_proj,17,gate_proj,16,0.5086166572361649,0.23223970812249672,0.4566105038409337,0.9288594108074903,0.2998342132085562,0.45656163516887877,1.000107036308552,0.5307107929666598,0.9393656006007237,0.9732999023592032,6.805504398164895,0.5216498252446977,-0.065039321403764
Qwen3-8B,magicoder,base_model.model.model.layers.17.mlp.up_proj,17,up_proj,16,0.39778991668095465,0.20053267683359144,0.5041170437571137,0.8020269367843866,0.24599689825379406,0.5040518268262493,1.0001293853675228,0.47203840269998487,0.905784809504672,0.960392166139787,7.889849332256869,0.5216498252446977,-0.01753278148758397
Qwen3-8B,magicoder,base_model.model.model.layers.17.self_attn.k_proj,17,k_proj,16,0.06125292909315328,0.045815119582840805,0.7479661831871796,0.18323885183781385,0.11174255542912204,0.747877916006044,1.0001180235159328,0.2530220257491772,0.5729253753716511,0.8349697978102372,12.126770214660446,0.5216498252446977,0.22631635794248184
Qwen3-8B,magicoder,base_model.model.model.layers.17.self_attn.o_proj,17,o_proj,16,0.16019965215077311,0.09761835445974933,0.6093543472109108,0.3904345859773457,0.16835521496796896,0.6092937480442924,1.0000994580476377,0.3671009440590574,0.800468837004491,0.9158599728078722,9.943086029662727,0.5216498252446977,0.08770452196621303
Qwen3-8B,magicoder,base_model.model.model.layers.17.self_attn.q_proj,17,q_proj,16,0.13405495011300178,0.09151406399777984,0.6826608336405179,0.3660121369175613,0.13414507640701565,0.6825785556762934,1.0001205399196038,0.2983953644401323,0.6637574475651998,0.8758634653260484,11.06955306449245,0.5216498252446977,0.16101100839582017
Qwen3-8B,magicoder,base_model.model.model.layers.17.self_attn.v_proj,17,v_proj,16,0.08494999466262539,0.04840138474786935,0.5697632464850999,0.19359320239163935,0.19255132168172714,0.5697269410094874,1.000063724344066,0.394170335111815,0.8069030725168217,0.9410104630438609,8.892451245749607,0.5216498252446977,0.04811342124040219
Qwen3-8B,magicoder,base_model.model.model.layers.18.mlp.down_proj,18,down_proj,16,0.1848568335863208,0.097387172459948,0.5268248436943612,0.3895082073286176,0.22523599334942565,0.5267700952298481,1.0001039323701344,0.4470528078876018,0.8873191627509418,0.9549521910093999,8.41182386421357,0.5216498252446977,0.005175018449663504
Qwen3-8B,magicoder,base_model.model.model.layers.18.mlp.gate_proj,18,gate_proj,16,0.4738500234608799,0.232201816225625,0.490032298678983,0.928697258234024,0.26033555545305037,0.4899742599203941,1.0001184526685103,0.4909514048064257,0.9258561761260129,0.9599345947468532,7.719930626822904,0.5216498252446977,-0.031617526565714704
