base_model,task,module,layer,module_type,dose_label,dose,lora_fro,head_fro,scalar_gamma_head_matched,suppressed_directions
Qwen3-8B,metamath,base_model.model.model.layers.10.self_attn.q_proj,10,q_proj,1p00,1.0,0.9855663776397705,0.27147477865219116,0.27545052766799927,2
Qwen3-8B,metamath,base_model.model.model.layers.10.self_attn.v_proj,10,v_proj,0p00,0.0,0.2855031192302704,0.2855031192302704,1.0,3
Qwen3-8B,metamath,base_model.model.model.layers.10.self_attn.v_proj,10,v_proj,0p25,0.25,0.2855031192302704,0.23343117535114288,0.817613422870636,3
Qwen3-8B,metamath,base_model.model.model.layers.10.self_attn.v_proj,10,v_proj,0p50,0.5,0.2855031192302704,0.18303321301937103,0.6410900354385376,3
Qwen3-8B,metamath,base_model.model.model.layers.10.self_attn.v_proj,10,v_proj,1p00,1.0,0.2855031192302704,0.0980926901102066,0.3435783386230469,3
Qwen3-8B,metamath,base_model.model.model.layers.11.mlp.down_proj,11,down_proj,0p00,0.0,0.6874189376831055,0.6874189376831055,1.0,2
Qwen3-8B,metamath,base_model.model.model.layers.11.mlp.down_proj,11,down_proj,0p25,0.25,0.6874189376831055,0.5699018836021423,0.8290459513664246,2
Qwen3-8B,metamath,base_model.model.model.layers.11.mlp.down_proj,11,down_proj,0p50,0.5,0.6874189376831055,0.45835384726524353,0.666775107383728,2
Qwen3-8B,metamath,base_model.model.model.layers.11.mlp.down_proj,11,down_proj,1p00,1.0,0.6874189376831055,0.2825925350189209,0.4110921621322632,2
Qwen3-8B,metamath,base_model.model.model.layers.11.mlp.gate_proj,11,gate_proj,0p00,0.0,2.0498385429382324,2.0498385429382324,1.0,3
Qwen3-8B,metamath,base_model.model.model.layers.11.mlp.gate_proj,11,gate_proj,0p25,0.25,2.0498385429382324,1.6601479053497314,0.8098920583724976,3
Qwen3-8B,metamath,base_model.model.model.layers.11.mlp.gate_proj,11,gate_proj,0p50,0.5,2.0498385429382324,1.2837337255477905,0.6262608766555786,3
Qwen3-8B,metamath,base_model.model.model.layers.11.mlp.gate_proj,11,gate_proj,1p00,1.0,2.0498385429382324,0.66679847240448,0.3252931535243988,3
Qwen3-8B,metamath,base_model.model.model.layers.11.mlp.up_proj,11,up_proj,0p00,0.0,1.0784624814987183,1.0784624814987183,1.0,4
Qwen3-8B,metamath,base_model.model.model.layers.11.mlp.up_proj,11,up_proj,0p25,0.25,1.0784624814987183,0.9393600821495056,0.8710178732872009,4
Qwen3-8B,metamath,base_model.model.model.layers.11.mlp.up_proj,11,up_proj,0p50,0.5,1.0784624814987183,0.8113638162612915,0.7523338198661804,4
Qwen3-8B,metamath,base_model.model.model.layers.11.mlp.up_proj,11,up_proj,1p00,1.0,1.0784624814987183,0.6163864731788635,0.5715419054031372,4
Qwen3-8B,metamath,base_model.model.model.layers.11.self_attn.k_proj,11,k_proj,0p00,0.0,0.4295588433742523,0.4295588433742523,1.0,2
Qwen3-8B,metamath,base_model.model.model.layers.11.self_attn.k_proj,11,k_proj,0p25,0.25,0.4295588433742523,0.35284653306007385,0.8214160799980164,2
Qwen3-8B,metamath,base_model.model.model.layers.11.self_attn.k_proj,11,k_proj,0p50,0.5,0.4295588433742523,0.2786601781845093,0.6487124562263489,2
Qwen3-8B,metamath,base_model.model.model.layers.11.self_attn.k_proj,11,k_proj,1p00,1.0,0.4295588433742523,0.15318624675273895,0.3566129505634308,2
Qwen3-8B,metamath,base_model.model.model.layers.11.self_attn.o_proj,11,o_proj,0p00,0.0,0.6056560277938843,0.6056560277938843,1.0,4
Qwen3-8B,metamath,base_model.model.model.layers.11.self_attn.o_proj,11,o_proj,0p25,0.25,0.6056560277938843,0.5308367013931274,0.8764656186103821,4
Qwen3-8B,metamath,base_model.model.model.layers.11.self_attn.o_proj,11,o_proj,0p50,0.5,0.6056560277938843,0.4620886743068695,0.7629556059837341,4
Qwen3-8B,metamath,base_model.model.model.layers.11.self_attn.o_proj,11,o_proj,1p00,1.0,0.6056560277938843,0.35680872201919556,0.5891276597976685,4
Qwen3-8B,metamath,base_model.model.model.layers.11.self_attn.q_proj,11,q_proj,0p00,0.0,1.00970458984375,1.00970458984375,1.0,3
Qwen3-8B,metamath,base_model.model.model.layers.11.self_attn.q_proj,11,q_proj,0p25,0.25,1.00970458984375,0.8274776935577393,0.8195245265960693,3
Qwen3-8B,metamath,base_model.model.model.layers.11.self_attn.q_proj,11,q_proj,0p50,0.5,1.00970458984375,0.6523903012275696,0.6461199522018433,3
