base	task	seed	method	checkpoint	magicoder	metamath	tulu	commonsense	target	off_score	forgetting_gap	path
Llama-3.1-8B-Instruct	metamath	44	original_lora	Llama-3.1-8B-Instruct/metamath/seed44	55.487804878048784	74.45034116755117	59.33456561922365	64.11415579316244	74.45034116755117	59.64550876347829	3.3500631648924064	
Llama-3.1-8B-Instruct	metamath	44	hns_f4_s1	Llama-3.1-8B-Instruct/metamath/seed44	53.65853658536586	78.99924184988627	61.92236598890942	71.91343661293956	78.99924184988627	62.49811306240495	0.06161429451632946	
Llama-3.1-8B-Instruct	tulu	44	original_lora	Llama-3.1-8B-Instruct/tulu/seed44	64.02439024390245	59.36315390447309	62.10720887245841	73.70140145924779	62.10720887245841	65.6963152025411	1.0108668182966885	
Llama-3.1-8B-Instruct	tulu	44	hns_f4_s1	Llama-3.1-8B-Instruct/tulu/seed44	62.80487804878049	64.0636846095527	64.87985212569316	71.7563346699031	64.87985212569316	66.2082991094121	0.0	
Llama-3.1-8B-Instruct	magicoder	42	original_lora	Llama-3.1-8B-Instruct/magicoder/seed42	53.65853658536586	56.40636846095527	55.45286506469501	69.10028349871595	53.65853658536586	60.319839008122074	4.97838274735341	
Llama-3.1-8B-Instruct	magicoder	42	hns_f4_s1	Llama-3.1-8B-Instruct/magicoder/seed42	54.87804878048781	63.60879454131918	60.44362292051756	70.32626654200732	54.87804878048781	64.79289466794802	0.9096738148461441	
Llama-3.1-8B-Instruct	metamath	42	original_lora	Llama-3.1-8B-Instruct/metamath/seed42	54.268292682926834	77.10386656557998	54.34380776340111	65.03916506071839	77.10386656557998	57.883755169015444	4.705312694314604	
Llama-3.1-8B-Instruct	metamath	42	hns_f4_s1	Llama-3.1-8B-Instruct/metamath/seed42	61.58536585365854	80.66717210007582	58.78003696857671	69.64851425192025	80.66717210007582	63.33797235805182	1.6901198955221186	
Llama-3.1-8B-Instruct	tulu	42	original_lora	Llama-3.1-8B-Instruct/tulu/seed42	63.41463414634146	56.785443517816525	63.21626617375231	71.27823483564126	63.21626617375231	63.82610416659975	1.907926013503425	
Llama-3.1-8B-Instruct	tulu	42	hns_f4_s1	Llama-3.1-8B-Instruct/tulu/seed42	62.80487804878049	66.03487490523123	64.87985212569316	70.40657795092362	64.87985212569316	66.41544363497844	0.3283746945604283	
Qwen3-8B	magicoder	42	spectral_surgery_grad_direction	Qwen3-8B/magicoder/seed42	68.90243902439023	83.54814253222138	60.0739371534196	83.51682321071333	68.90243902439023	75.7129676321181	3.9368217581141423	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_baselines_para_spectral_surgery/spectral_surgery/adapters/Qwen3-8B/magicoder/seed42/grad_direction
Qwen3-8B	metamath	42	spectral_surgery_grad_direction	Qwen3-8B/metamath/seed42	67.07317073170732	84.3062926459439	68.76155268022181	83.39178558763567	84.3062926459439	73.07550299985493	0.3080714725816402	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_baselines_para_spectral_surgery/spectral_surgery/adapters/Qwen3-8B/metamath/seed42/grad_direction
Qwen3-8B	tulu	42	spectral_surgery_grad_direction	Qwen3-8B/tulu/seed42	84.14634146341463	88.32448824867323	68.02218114602587	84.23283692156852	68.02218114602587	85.56788887788547	0.0	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_baselines_para_spectral_surgery/spectral_surgery/adapters/Qwen3-8B/tulu/seed42/grad_direction
Qwen3-8B	magicoder	43	spectral_surgery_grad_direction	Qwen3-8B/magicoder/seed43	65.2439024390244	80.81880212282032	61.552680221811464	82.75523046285221	65.2439024390244	75.04223760249467	4.353687538450541	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_baselines_para_spectral_surgery/spectral_surgery/adapters/Qwen3-8B/magicoder/seed43/grad_direction
Qwen3-8B	metamath	43	spectral_surgery_grad_direction	Qwen3-8B/metamath/seed43	64.63414634146342	83.92721758908263	68.20702402957485	83.62563261898887	83.92721758908263	72.15560099667572	1.1026704536916014	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_baselines_para_spectral_surgery/spectral_surgery/adapters/Qwen3-8B/metamath/seed43/grad_direction
Qwen3-8B	tulu	43	spectral_surgery_grad_direction	Qwen3-8B/tulu/seed43	81.70731707317073	89.38589840788475	67.8373382624769	84.51521610634792	67.8373382624769	85.20281052913447	0.0	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_baselines_para_spectral_surgery/spectral_surgery/adapters/Qwen3-8B/tulu/seed43/grad_direction
