base_model	task	module	gamma_fro	gamma_energy	gamma_fit	shape_residual_fraction	suppressed_original_energy_share	relative_distance_to_equal_spectrum	peak_gain_ratio	nuclear_relative_error	participation_rank_sigma_probabilities	hns_majorized_by_lora_tolerance_1e_6	cached_energy_consistency_relative_error
Llama-3.1-8B-Instruct	tulu	layers.8.self_attn.v_proj	0.8924116830695099	0.7854530807250019	0.7031994726346003	0.19847591343157656	0.8054625573145546	0.0001560693916360004	0.4019351308182535	2.8337407309564355e-08	12.742376760716992	True	3.5240597778870735e-08
Llama-3.1-8B-Instruct	tulu	layers.9.mlp.down_proj	0.8770124391902482	0.7746637441758498	0.6933965199037951	0.1988075388902938	0.8334277865285261	0.0001986441995772006	0.39061295080664554	2.435180079807253e-08	12.306412010939134	True	4.2266402769757706e-08
Llama-3.1-8B-Instruct	tulu	layers.9.mlp.gate_proj	0.8696990189439834	0.46535572467542197	0.42024820129368373	0.1844668766088221	0.9720883199189665	0.00013429704009477317	0.34719245434459806	3.008525402137252e-07	12.102014636720867	True	1.3585767107270493e-08
Llama-3.1-8B-Instruct	tulu	layers.9.mlp.up_proj	0.9545935198557162	0.8291121569233484	0.7898262470704683	0.09252105472610372	0.7496920880754734	0.00014962054244059835	0.5491839448935336	4.6127354136338283e-07	14.579966833307523	True	2.3030978455970196e-08
Llama-3.1-8B-Instruct	tulu	layers.9.self_attn.k_proj	0.8250889201399516	0.46741415677653003	0.3977338986452402	0.27592843832516223	0.9593590644014547	0.00016551885993122106	0.31640425205905015	4.7465856800599227e-08	10.892348353820527	True	4.0353516639819555e-08
Llama-3.1-8B-Instruct	tulu	layers.9.self_attn.o_proj	0.9394211732763617	0.8394656153050217	0.7949490623219333	0.10324712286726823	0.7840534502910574	0.00017042919696372736	0.49986356196036946	3.3672794108596804e-07	14.120184333339441	True	1.98967167820071e-08
Llama-3.1-8B-Instruct	tulu	layers.9.self_attn.q_proj	0.9315845913010546	0.7876881517533222	0.7343456679185065	0.13085457491416996	0.8363474058765243	0.0001043209720970971	0.48619667939724776	1.5290573895931914e-07	13.885593214503654	True	2.8876881609321048e-08
Llama-3.1-8B-Instruct	tulu	layers.9.self_attn.v_proj	0.9098279357118861	0.811202632366026	0.7419561042625339	0.1634387924604016	0.8135213972028592	0.00016598125726220218	0.43541332364591684	1.3263394016416186e-07	13.244593110107427	True	2.58270244965577e-08
Llama-3.1-8B-Instruct	commonsense	layers.0.mlp.down_proj	0.6536606504451452	0.7102103321099865	0.490386017091866	0.5232373949232672	0.8801419348972684	0.00019835076185471405	0.2008723090283738	8.362495829139505e-08	6.8363568094630605	True	2.5615194035788383e-08
Llama-3.1-8B-Instruct	commonsense	layers.0.mlp.gate_proj	0.8844802478191903	0.79656386363089	0.7140167353846989	0.19651905651537305	0.847865554647205	0.0001655738622237132	0.38943233570337876	1.8259753864491302e-07	12.516889168475934	True	2.2041636197185263e-08
Llama-3.1-8B-Instruct	commonsense	layers.0.mlp.up_proj	0.8962665054976092	0.771286044976721	0.6941816834734497	0.18994342157204946	0.8458900594820298	0.00015653609147312948	0.4245660162267387	8.667533579753695e-08	12.852695839070075	True	3.230712854296519e-08
Llama-3.1-8B-Instruct	commonsense	layers.0.self_attn.k_proj	0.6580944074409941	0.44973795643910264	0.3535285361014466	0.38208339571233885	0.9745088553456441	0.00014078092507951415	0.24154442315714628	3.955077276796004e-08	6.92941239647315	True	2.341677488704101e-08
Llama-3.1-8B-Instruct	commonsense	layers.0.self_attn.o_proj	0.8005069740357731	0.7302225845160754	0.6105794934283912	0.30084429319986683	0.8448708758129133	0.0001655942501966684	0.3199450002279238	3.7115920892283327e-07	10.252974755553439	True	4.857954430824684e-08
Llama-3.1-8B-Instruct	commonsense	layers.0.self_attn.q_proj	0.5764581602150883	0.3738373768808767	0.25187673675240885	0.546047225561685	0.9797662643228984	0.0001940178916838036	0.16495284606287403	4.3440074426470687e-07	5.316868586816959	True	2.7338659224950098e-08
Llama-3.1-8B-Instruct	commonsense	layers.0.self_attn.v_proj	0.8370915889868166	0.809035626754355	0.695951618189881	0.2600151903997381	0.8147375385505844	0.0001614710356418993	0.35449049287725226	1.1899605922849332e-07	11.211554293060098	True	3.1016916291799355e-08
Llama-3.1-8B-Instruct	commonsense	layers.1.mlp.down_proj	0.4594689883640498	0.988650713501544	0.6362463587790835	0.5858431474029822	0.7273021946755254	0.000190600934747722	0.11990277430916521	1.4002306081284388e-06	3.377778438237694	True	2.877441070522319e-08
Llama-3.1-8B-Instruct	commonsense	layers.1.mlp.gate_proj	0.8851927319460746	0.7694043453666387	0.6841978588932849	0.20922277631398023	0.8068491537819695	0.0001627598540476496	0.389977031221203	4.00740092887375e-07	12.53704838272826	True	2.1867070982768507e-08
Llama-3.1-8B-Instruct	commonsense	layers.1.mlp.up_proj	0.8800733381490545	0.7960756169381076	0.7012599105973683	0.22402205141877263	0.8373746152041895	0.00012647440861933854	0.4143232543394326	2.1873085254142666e-07	12.39245966887889	True	2.75701481470503e-08
Llama-3.1-8B-Instruct	commonsense	layers.1.self_attn.k_proj	0.6789835942343982	0.43389147958962987	0.3279127771852988	0.4288444056715518	0.9732731760220218	8.537328726993355e-05	0.22173690691023276	6.522979878464952e-07	7.376289862987298	True	3.116404344036118e-08
Llama-3.1-8B-Instruct	commonsense	layers.1.self_attn.o_proj	0.7726254942632088	0.6522558682595234	0.5274225112843023	0.34614517272458356	0.9088821578608445	0.0001830690744022757	0.27922586152674567	1.4603965747816972e-07	9.551199360357781	True	3.5882918759136317e-08
Llama-3.1-8B-Instruct	commonsense	layers.1.self_attn.q_proj	0.6499889403380867	0.4534238367221435	0.3203536730017928	0.5008274206942388	0.9609876403853235	0.00015863051990093813	0.2100337770167174	7.632429078752168e-07	6.75978010959335	True	3.498555412973763e-08
Llama-3.1-8B-Instruct	commonsense	layers.1.self_attn.v_proj	0.7267202945190602	0.6588990477164266	0.49943531069207053	0.4254593931711723	0.9082387642995	0.00020471124480400012	0.2583610538649542	2.6544171172204756e-07	8.449953343403347	True	3.7010930644092096e-08
Llama-3.1-8B-Instruct	commonsense	layers.10.mlp.down_proj	0.7279904777903075	0.5682890723429492	0.4455827302379187	0.3852223218995383	0.950008320687751	0.00018443104983576283	0.28281907780389925	6.174082389787117e-07	8.479511412980756	True	3.286306208413046e-08
Llama-3.1-8B-Instruct	commonsense	layers.10.mlp.gate_proj	0.7106126518948802	0.4324188299012808	0.316350697658523	0.4647848495769098	0.95792851765123	0.00016581079263010463	0.21988373278217216	1.8687245195714297e-07	8.079522214716487	True	3.0238851245043296e-08
