checkpoint	cohort	label	feature	previous	recollected	difference
Llama-3.1-8B-Instruct/tulu/seed42	joint_flat_hns	tulu__seed42__flat_fro	gamma_functional	0.3816	0.38159	-1.0000000000010001e-05
Llama-3.1-8B-Instruct/tulu/seed42	joint_flat_hns	tulu__seed42__flat_fro	eta_functional	0.27244	0.27243	-1.0000000000010001e-05
Llama-3.1-8B-Instruct/tulu/seed42	joint_flat_hns	tulu__seed42__flat_nuclear	functional_participation	11.9934	11.99334	-5.9999999999504894e-05
Llama-3.1-8B-Instruct/tulu/seed42	joint_flat_hns	tulu__seed42__flat_nuclear	functional_erank	13.90464	13.90461	-3.0000000000640625e-05
Llama-3.1-8B-Instruct/tulu/seed42	joint_flat_hns	tulu__seed42__flat_nuclear	functional_top1	0.17337	0.17337	0.0
Llama-3.1-8B-Instruct/tulu/seed42	joint_flat_hns	tulu__seed42__flat_nuclear	functional_erank_iqr	4.08588	4.08582	-6.000000000039307e-05
Llama-3.1-8B-Instruct/tulu/seed42	joint_flat_hns	tulu__seed42__flat_nuclear	functional_attn_mlp_gap	1.66524	1.66539	0.00014999999999987246
Llama-3.1-8B-Instruct/tulu/seed42	joint_flat_hns	tulu__seed42__flat_nuclear	functional_energy_ratio	0.34905	0.34904	-1.0000000000010001e-05
Llama-3.1-8B-Instruct/tulu/seed42	joint_flat_hns	tulu__seed42__flat_nuclear	gamma_functional	0.28817	0.28816	-9.99999999995449e-06
Llama-3.1-8B-Instruct/tulu/seed42	joint_flat_hns	tulu__seed42__flat_nuclear	eta_functional	0.31839	0.31839	0.0
Llama-3.1-8B-Instruct/tulu/seed42	joint_flat_hns	tulu__seed42__hns_f4_s1	functional_participation	12.13591	12.13586	-5.000000000165983e-05
Llama-3.1-8B-Instruct/tulu/seed42	joint_flat_hns	tulu__seed42__hns_f4_s1	functional_erank	14.00615	14.00615	0.0
Llama-3.1-8B-Instruct/tulu/seed42	joint_flat_hns	tulu__seed42__hns_f4_s1	functional_top1	0.16892	0.16892	0.0
Llama-3.1-8B-Instruct/tulu/seed42	joint_flat_hns	tulu__seed42__hns_f4_s1	functional_erank_iqr	4.14347	4.14348	1.0000000000509601e-05
Llama-3.1-8B-Instruct/tulu/seed42	joint_flat_hns	tulu__seed42__hns_f4_s1	functional_attn_mlp_gap	1.73148	1.73164	0.00016000000000016001
Llama-3.1-8B-Instruct/tulu/seed42	joint_flat_hns	tulu__seed42__hns_f4_s1	functional_energy_ratio	0.34681	0.3468	-1.0000000000010001e-05
Llama-3.1-8B-Instruct/tulu/seed42	joint_flat_hns	tulu__seed42__hns_f4_s1	gamma_functional	0.28508	0.28507	-1.0000000000010001e-05
Llama-3.1-8B-Instruct/tulu/seed42	joint_flat_hns	tulu__seed42__hns_f4_s1	eta_functional	0.3243	0.32429	-9.99999999995449e-06
Qwen3-8B/magicoder/seed42	hns_grid_target	magicoder__original_lora	functional_participation	1.04498	1.04498	0.0
Qwen3-8B/magicoder/seed42	hns_grid_target	magicoder__original_lora	functional_erank	1.14286	1.14286	0.0
Qwen3-8B/magicoder/seed42	hns_grid_target	magicoder__original_lora	functional_top1	0.97811	0.9781	-1.0000000000065512e-05
