cohort	outcome	feature	family	sources	raw_spearman	within_base_spearman	within_base_task_spearman	within_base_task_pearson	permutation_p	exact_seed_permutations	fdr_q
source18	off_score	erank_depth_slope	source	18	0.4447884416924664	0.03333333333333333	0.7500000000000001	0.3771259054143457	0.010502400548696845	46656	0.07351680384087791
source18	forgetting_gap	erank_depth_slope	source	18	-0.4128686240901833	-0.42858656147616914	-0.6390096504226938	-0.298632342676448	0.036265432098765434	46656	0.2175925925925926
source18	hns_target_gain	erank_depth_slope	source	18	0.34194233122226453	0.012552411131335846	-0.08703882797784893	0.14275212224969525	0.8297325102880658	46656	0.9511442336645588
source18	hns_off_gain	erank_depth_slope	source	18	-0.2899896800825593	-0.35833333333333334	-0.7500000000000001	-0.44256088565627155	0.010502400548696845	46656	0.22055041152263374
source18	hns_forgetting_reduction	erank_depth_slope	source	18	-0.2468912877725217	-0.21009145170400448	-0.3651483716701107	-0.21006184581837045	0.2824074074074074	46656	0.7413194444444444
source18	target	erank_depth_slope_normalized	source	18	0.744186940913873	0.733767132913832	-0.0445435403187374	-0.5383867642816373	0.9567901234567902	46656	0.95679012345679
source18	off_score	erank_depth_slope_normalized	source	18	0.4447884416924664	0.03333333333333333	0.7500000000000001	0.3692274542698538	0.010502400548696845	46656	0.07351680384087791
source18	forgetting_gap	erank_depth_slope_normalized	source	18	-0.4128686240901833	-0.42858656147616914	-0.6390096504226938	-0.29549080985332365	0.036265432098765434	46656	0.2175925925925926
source18	hns_target_gain	erank_depth_slope_normalized	source	18	0.34194233122226453	0.012552411131335846	-0.08703882797784893	0.15076352707641094	0.8297325102880658	46656	0.9511442336645588
source18	hns_off_gain	erank_depth_slope_normalized	source	18	-0.2899896800825593	-0.35833333333333334	-0.7500000000000001	-0.43665087357516186	0.010502400548696845	46656	0.22055041152263374
source18	hns_forgetting_reduction	erank_depth_slope_normalized	source	18	-0.2468912877725217	-0.21009145170400448	-0.3651483716701107	-0.21374749317086164	0.2824074074074074	46656	0.7413194444444444
source18	target	erank_attn_mlp_gap	source	18	-0.4134371893965961	-0.5325052907431809	0.22271770159368698	-0.05860749548053529	0.5030864197530864	46656	0.9319319319319319
source18	off_score	erank_attn_mlp_gap	source	18	-0.28173374613003094	-0.25	0.25000000000000006	0.2534076472735188	0.4834533607681756	46656	0.7001738328366681
source18	forgetting_gap	erank_attn_mlp_gap	source	18	0.5746965269999035	0.4537975356806497	-0.18257418583505536	-0.2311603664114572	0.6450617283950617	46656	0.9342273307790548
source18	hns_target_gain	erank_attn_mlp_gap	source	18	-0.192148862862058	-0.03765723339400753	-0.08703882797784893	-0.3091659389906301	0.8297325102880658	46656	0.9511442336645588
source18	hns_off_gain	erank_attn_mlp_gap	source	18	0.609907120743034	0.4083333333333333	0.08333333333333334	-0.2565503011565491	0.8846879286694102	46656	1.0
source18	hns_forgetting_reduction	erank_attn_mlp_gap	source	18	0.5622482267760788	0.5126231421577709	0.09128709291752768	-0.13070041630304033	0.8868312757201646	46656	0.9550490661601773
source18	target	gamma_param	source	18						46656	
source18	off_score	gamma_param	source	18						46656	
source18	forgetting_gap	gamma_param	source	18						46656	
source18	hns_target_gain	gamma_param	source	18						46656	
source18	hns_off_gain	gamma_param	source	18						46656	
source18	hns_forgetting_reduction	gamma_param	source	18						46656	
source18	target	eta_param	source	18						46656	
source18	off_score	eta_param	source	18						46656	
source18	forgetting_gap	eta_param	source	18						46656	
source18	hns_target_gain	eta_param	source	18						46656	
source18	hns_off_gain	eta_param	source	18						46656	
source18	hns_forgetting_reduction	eta_param	source	18						46656	
