checkpoint	base	train_task	seed	module	nuclear	fro	sigma1	entropy_rank	top1_energy
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.28.mlp.down_proj	6.125210702419281	1.8105483739029837	1.152830958366394	13.690077045975793	0.405425439127855
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.28.mlp.gate_proj	10.82540537416935	4.444920105439423	3.886793851852417	9.625163069419294	0.7646366240930927
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.28.mlp.up_proj	8.83339524269104	3.2567896761474753	2.757976531982422	11.170402543942792	0.7171363020220315
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.28.self_attn.k_proj	3.3717559538781643	1.1108491624527617	0.7341184616088867	11.927300184022336	0.43673913323685304
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.28.self_attn.o_proj	6.271499797701836	1.8011142721771725	0.9956461191177368	13.946361213797365	0.3055817933513709
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.28.self_attn.q_proj	5.5466785952448845	2.146648239088001	1.8303645849227905	10.36329160303235	0.7270318539598116
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.28.self_attn.v_proj	2.4360049851238728	0.8183139394223289	0.5996354222297668	11.864595991276717	0.5369510075950585
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.29.mlp.down_proj	5.832007542252541	1.850294892954453	1.3909450769424438	12.982399239286542	0.565116598096394
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.29.mlp.gate_proj	11.428118199110031	4.781776714778311	4.296534538269043	9.664009372265621	0.8073428972429144
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.29.mlp.up_proj	9.28931774199009	3.029421962231695	2.339846134185791	12.63381962605715	0.596561277448875
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.29.self_attn.k_proj	3.6385937333106995	1.134787551406669	0.6683350205421448	12.597481825276985	0.3468640665295281
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.29.self_attn.o_proj	6.083950474858284	1.6470472156582685	0.7695868611335754	14.770210953730157	0.21832486017382532
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.29.self_attn.q_proj	6.73058794438839	2.1790941704161684	1.532529592514038	12.405344836065916	0.49461324384186756
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.29.self_attn.v_proj	2.1847970820963383	0.7414289712295797	0.5207982659339905	11.656772518259565	0.49340092007077757
