base	train_task	method	quantity	n	mean	sample_sd	seed42	seed43	seed44
Qwen3-8B	magicoder	hns_f4_s1	off_score	3	81.26057961818536	0.07096821118696259	81.33317478110466	81.1913587358642	81.25720533758722
Qwen3-8B	magicoder	hns_f4_s1	off_gain	3	3.22381358457722	0.4530019511019994	3.5353319509949728	3.43196098036978	2.704147822366906
Qwen3-8B	magicoder	hns_f4_s1	forgetting_gap	3	0.0	0.0	0.0	0.0	0.0
Qwen3-8B	magicoder	hns_f4_s1	forgetting_reduction	3	1.6655167511624869	0.48253822913963124	1.9004202758208966	1.985624576956435	1.1105054007101292
Qwen3-8B	metamath	original_lora	entropy_rank	3	0.6898133333333334	0.023464060461338213	0.66272	0.70352	0.7032
Qwen3-8B	metamath	original_lora	energy_entropy_rank	3	0.29109666666666667	0.030418430816420063	0.25603	0.31037	0.30689
Qwen3-8B	metamath	original_lora	stable_rank	3	0.11215000000000001	0.008498570468025787	0.10242	0.11812	0.11591
Qwen3-8B	metamath	original_lora	participation_rank	3	0.17798666666666665	0.019933490244644404	0.1551	0.19155	0.18731
Qwen3-8B	metamath	original_lora	nuclear_participation_rank	3	0.4943633333333333	0.031695889849211234	0.45778	0.51359	0.51172
Qwen3-8B	metamath	original_lora	top1_energy	3	0.6156	0.041216651974657056	0.66302	0.58838	0.5954
Qwen3-8B	metamath	original_lora	top4_energy	3	0.8508100000000001	0.01652387363786109	0.86989	0.84121	0.84133
Qwen3-8B	metamath	original_lora	log_condition	3	2.6253766666666665	0.08972670802683759	2.72799	2.56167	2.58647
Qwen3-8B	metamath	original_lora	log_fro	3	3.686607578948045	0.06462437196993585	3.6119945307749077	3.7249036656872367	3.72292454038199
Qwen3-8B	metamath	original_lora	log_nuclear	3	7.278046941905316	0.12368364932576888	7.135229790169331	7.349153875509804	7.349757160036814
Qwen3-8B	metamath	original_lora	log_head_rss	3	3.5161707116404197	0.03301763412432478	3.4780491985967785	3.5357077512874975	3.5347551850369827
Qwen3-8B	metamath	original_lora	fro_ratio	3	1.0	0.0	1.0	1.0	1.0
Qwen3-8B	metamath	original_lora	nuclear_ratio	3	1.0	0.0	1.0	1.0	1.0
Qwen3-8B	metamath	original_lora	head_ratio	3	1.0	0.0	1.0	1.0	1.0
