cohort	field	value	clusters	feature	outcome	within_spearman
joint_flat_hns	base	Llama-3.1-8B-Instruct	9	stable_rank	forgetting_reduction	0.4687866253858433
joint_flat_hns	base	Llama-3.1-8B-Instruct	9	participation_rank	target_gain	0.297809037454943
joint_flat_hns	base	Llama-3.1-8B-Instruct	9	participation_rank	off_gain	0.3396520449810481
joint_flat_hns	base	Llama-3.1-8B-Instruct	9	participation_rank	forgetting_reduction	0.4687866253858433
joint_flat_hns	base	Llama-3.1-8B-Instruct	9	nuclear_participation_rank	target_gain	0.297809037454943
joint_flat_hns	base	Llama-3.1-8B-Instruct	9	nuclear_participation_rank	off_gain	0.3396520449810481
joint_flat_hns	base	Llama-3.1-8B-Instruct	9	nuclear_participation_rank	forgetting_reduction	0.4687866253858433
joint_flat_hns	base	Llama-3.1-8B-Instruct	9	top1_energy	target_gain	-0.297809037454943
joint_flat_hns	base	Llama-3.1-8B-Instruct	9	top1_energy	off_gain	-0.3396520449810481
joint_flat_hns	base	Llama-3.1-8B-Instruct	9	top1_energy	forgetting_reduction	-0.4687866253858433
joint_flat_hns	base	Llama-3.1-8B-Instruct	9	top4_energy	target_gain	-0.297809037454943
joint_flat_hns	base	Llama-3.1-8B-Instruct	9	top4_energy	off_gain	-0.3396520449810481
joint_flat_hns	base	Llama-3.1-8B-Instruct	9	top4_energy	forgetting_reduction	-0.4687866253858433
joint_flat_hns	base	Llama-3.1-8B-Instruct	9	log_condition	target_gain	-0.297809037454943
joint_flat_hns	base	Llama-3.1-8B-Instruct	9	log_condition	off_gain	-0.3396520449810481
joint_flat_hns	base	Llama-3.1-8B-Instruct	9	log_condition	forgetting_reduction	-0.4687866253858433
joint_flat_hns	base	Llama-3.1-8B-Instruct	9	log_fro	target_gain	-0.47649445992790884
joint_flat_hns	base	Llama-3.1-8B-Instruct	9	log_fro	off_gain	-0.4801977187663094
joint_flat_hns	base	Llama-3.1-8B-Instruct	9	log_fro	forgetting_reduction	-0.5000390670782329
joint_flat_hns	base	Llama-3.1-8B-Instruct	9	log_nuclear	target_gain	-0.0875376219064817
joint_flat_hns	base	Llama-3.1-8B-Instruct	9	log_nuclear	off_gain	-0.028688765527462343
joint_flat_hns	base	Llama-3.1-8B-Instruct	9	log_nuclear	forgetting_reduction	0.06124202828995004
joint_flat_hns	base	Llama-3.1-8B-Instruct	9	log_head_rss	target_gain	-0.5424508028966483
joint_flat_hns	base	Llama-3.1-8B-Instruct	9	log_head_rss	off_gain	-0.5777777777777777
joint_flat_hns	base	Llama-3.1-8B-Instruct	9	log_head_rss	forgetting_reduction	-0.628551792485591
joint_flat_hns	base	Llama-3.1-8B-Instruct	9	fro_ratio	target_gain	-0.47649445992790884
joint_flat_hns	base	Llama-3.1-8B-Instruct	9	fro_ratio	off_gain	-0.4801977187663094
joint_flat_hns	base	Llama-3.1-8B-Instruct	9	fro_ratio	forgetting_reduction	-0.5000390670782329
joint_flat_hns	base	Llama-3.1-8B-Instruct	9	nuclear_ratio	target_gain	-0.0875376219064817
joint_flat_hns	base	Llama-3.1-8B-Instruct	9	nuclear_ratio	off_gain	-0.028688765527462343
joint_flat_hns	base	Llama-3.1-8B-Instruct	9	nuclear_ratio	forgetting_reduction	0.06124202828995004
joint_flat_hns	base	Llama-3.1-8B-Instruct	9	head_ratio	target_gain	-0.5424508028966483
joint_flat_hns	base	Llama-3.1-8B-Instruct	9	head_ratio	off_gain	-0.5777777777777777
joint_flat_hns	base	Llama-3.1-8B-Instruct	9	head_ratio	forgetting_reduction	-0.628551792485591
joint_flat_hns	base	Llama-3.1-8B-Instruct	9	original_head1_retention	target_gain	-0.6328592700460897
joint_flat_hns	base	Llama-3.1-8B-Instruct	9	original_head1_retention	off_gain	-0.7333333333333332
joint_flat_hns	base	Llama-3.1-8B-Instruct	9	original_head1_retention	forgetting_reduction	-0.723427534747567
joint_flat_hns	base	Llama-3.1-8B-Instruct	9	original_head4_retention	target_gain	-0.6328592700460897
joint_flat_hns	base	Llama-3.1-8B-Instruct	9	original_head4_retention	off_gain	-0.7333333333333332
joint_flat_hns	base	Llama-3.1-8B-Instruct	9	original_head4_retention	forgetting_reduction	-0.723427534747567
joint_flat_hns	base	Llama-3.1-8B-Instruct	9	scalar_fit	target_gain	-0.6328592700460897
joint_flat_hns	base	Llama-3.1-8B-Instruct	9	scalar_fit	off_gain	-0.6888888888888888
joint_flat_hns	base	Llama-3.1-8B-Instruct	9	scalar_fit	forgetting_reduction	-0.675989663616579
joint_flat_hns	base	Llama-3.1-8B-Instruct	9	shape_residual	target_gain	0.36163386859776553
joint_flat_hns	base	Llama-3.1-8B-Instruct	9	shape_residual	off_gain	0.4666666666666666
joint_flat_hns	base	Llama-3.1-8B-Instruct	9	shape_residual	forgetting_reduction	0.557394985789109
joint_flat_hns	base	Llama-3.1-8B-Instruct	9	displacement	target_gain	0.31642963502304483
joint_flat_hns	base	Llama-3.1-8B-Instruct	9	displacement	off_gain	0.3999999999999999
joint_flat_hns	base	Llama-3.1-8B-Instruct	9	displacement	forgetting_reduction	0.462519243527133
