cohort	outcome	feature	family	rows	source_clusters	raw_pearson	raw_spearman	within_pearson	within_spearman	cluster_ci_low	cluster_ci_high	partial_pearson_logFro	median_checkpoint_spearman	positive_checkpoints	negative_checkpoints	nonconstant_checkpoints	permutation_p	fdr_q	missing_rows
hns_grid_target	target_gain	erank_depth_slope	core	180	18	0.013120440421933648	-0.03783632789388034	-0.030770719945609308	0.1265946472538669	-0.03580698910802716	0.29465601018831866	-0.22288199837279996	0.11890048007753382	11	7	18	0.1184407796101949	0.1223888055972014	
hns_grid_target	target_gain	erank_depth_slope_normalized	core	180	18	-0.0007499231541782091	-0.04113407576645642	-0.040730222595798816	0.10922912636856277	-0.05002410667715281	0.27173575678067396	-0.19852757550000208	0.10916295556989655	11	7	18	0.16991504247876063	0.16991504247876063	
hns_grid_target	target_gain	erank_attn_mlp_gap	core	180	18	-0.22697443236466952	-0.12081599419655936	-0.46428987786778586	-0.17235567484158426	-0.3021006976038025	-0.045417324340851314	0.4809003306176717	-0.19780591805009673	5	13	18	0.031984007996002	0.07626955752892785	
hns_grid_target	target_gain	gamma_param	core	180	18	-0.5631344146107886	-0.5429106372017825	-0.7732333186929303	-0.43111776676172064	-0.5605290997154693	-0.3067386089310776	-0.07732708132020812	-0.3841368270387121	1	17	18	0.0004997501249375312	0.0025820423121772447	
hns_grid_target	target_gain	eta_param	core	180	18	0.5596274321529896	0.5512329239939723	0.7707680247419737	0.4207195493491396	0.29369823955138846	0.5523782336718793	0.11917091053343758	0.39633806601209076	17	1	18	0.0004997501249375312	0.0025820423121772447	
hns_grid_target	target_gain	fro_ratio	core	180	18	-0.5790546954513379	-0.5282531854237702	-0.7724526664151914	-0.15530457374209508	-0.29394877794224444	-0.02400085378225525	0.05768154725131415	-0.18035683587492246	5	12	18	0.04847576211894053	0.08742057542657243	
hns_grid_target	target_gain	original_head1_retention	core	180	18	-0.39891905160662994	-0.5076096511438931	-0.7304176018129458	-0.4286310360464315	-0.5535001989884286	-0.30979004078205946	-0.07040954177386195	-0.43538881655467765	1	17	18	0.0004997501249375312	0.0025820423121772447	
hns_grid_target	target_gain	previous_mean_entropy_rank	core	180	18	0.32201887001054164	0.1080175200012909	0.8069387706651684	0.1614756779261634	0.038075808878824086	0.29523362864515945	0.40148236847353247	0.1524434935175174	13	5	18	0.0384807596201899	0.08520739630184906	
hns_grid_target	target_gain	base_left_overlap_k16	core	180	18	0.4861330398935708	0.4366664381262892	-0.5899785214174323	-0.1462072563419195	-0.2860284852789632	-0.020705082641708727	-0.41186953842634705	-0.07672878776840428	7	11	18	0.05697151424287856	0.08742057542657243	
hns_grid_target	target_gain	base_right_overlap_k16	core	180	18	-0.3330035715320344	-0.714697674249364	-0.5169907638699276	-0.38887728357047024	-0.5298072319799781	-0.24682615158893245	0.4980703138247804	-0.3517187046570107	2	16	18	0.0004997501249375312	0.0025820423121772447	
