base	train_task	method	quantity	mean	sample_sd	seed42	seed43	seed44
Qwen3-8B	metamath	flat_fro	erank_iqr	0.0	0.0	0.0	0.0	0.0
Qwen3-8B	metamath	flat_fro	erank_depth_slope	0.0	0.0	0.0	0.0	0.0
Qwen3-8B	metamath	flat_fro	erank_depth_slope_normalized	0.0	0.0	0.0	0.0	0.0
Qwen3-8B	metamath	flat_fro	erank_attn_mlp_gap	0.0	0.0	0.0	0.0	0.0
Qwen3-8B	metamath	flat_fro	gamma_param	0.6300433333333333	0.030674714885933877	0.59463	0.64715	0.64835
Qwen3-8B	metamath	flat_fro	eta_param	0.6024166666666666	0.038115884265399545	0.64642	0.58119	0.57964
Qwen3-8B	metamath	flat_fro	fro_ratio	1.0	0.0	1.0	1.0	1.0
Qwen3-8B	metamath	flat_fro	original_head1_retention	0.08800333333333332	0.005459673372403643	0.0817	0.09125	0.09106
Qwen3-8B	metamath	flat_fro	previous_mean_entropy_rank	1.0	0.0	1.0	1.0	1.0
Qwen3-8B	metamath	flat_fro	base_left_overlap_k16	0.006058333333333333	0.000174454387543946	0.005865	0.006106	0.006204
Qwen3-8B	metamath	flat_fro	base_right_overlap_k16	0.009348	8.99555445761962e-05	0.009314	0.00928	0.00945
Qwen3-8B	metamath	flat_fro	base_bilateral_overlap_k16	5.033333333333333e-05	2.0816659994661306e-06	5.1e-05	4.8e-05	5.2e-05
Qwen3-8B	metamath	flat_fro	target	87.79378316906748	0.6205726134853954	87.64215314632298	87.26307808946171	88.47611827141773
Qwen3-8B	metamath	flat_fro	off_score	74.22557345299835	0.5682753881149073	73.86605391813983	74.88072379119913	73.92994264965606
Qwen3-8B	metamath	flat_fro	forgetting_gap	0.13550135501355007	0.11734761568894826	0.2032520325203251	0.0	0.2032520325203251
Qwen3-8B	metamath	flat_fro	target_gain	3.740207227697752	0.6447991317752321	3.487490523123583	3.260045489006828	4.4730856709628455
Qwen3-8B	metamath	flat_fro	off_gain	6.067841128511489	3.9901557354856423	2.5729769224685697	5.215122095652774	10.415424367413124
Qwen3-8B	metamath	flat_fro	forgetting_reduction	4.812677516793657	4.019988778825861	1.595584809822223	3.5232856949641636	9.319162045594583
Qwen3-8B	metamath	flat_nuclear	shannon_eff_rank	16.0	0.0	16.0	16.0	16.0
Qwen3-8B	metamath	flat_nuclear	r2_participation	16.0	0.0	16.0	16.0	16.0
Qwen3-8B	metamath	flat_nuclear	stable_rank	16.0	0.0	16.0	16.0	16.0
Qwen3-8B	metamath	flat_nuclear	flatness	1.0	0.0	1.0	1.0	1.0
Qwen3-8B	metamath	flat_nuclear	gini	0.0	0.0	0.0	0.0	0.0
Qwen3-8B	metamath	flat_nuclear	decay_slope	0.0	0.0	0.0	0.0	0.0
Qwen3-8B	metamath	flat_nuclear	erank_energy	16.0	0.0	16.0	16.0	16.0
Qwen3-8B	metamath	flat_nuclear	entropy_gap	0.0	0.0	0.0	0.0	0.0
Qwen3-8B	metamath	flat_nuclear	hill_tail_contrast	0.0	0.0	0.0	0.0	0.0
Qwen3-8B	metamath	flat_nuclear	d_flat_l1	0.0	0.0	0.0	0.0	0.0
Qwen3-8B	metamath	flat_nuclear	soft_rank	1.0	0.0	1.0	1.0	1.0
Qwen3-8B	metamath	flat_nuclear	head_tail	0.0	0.0	0.0	0.0	0.0
Qwen3-8B	metamath	flat_nuclear	erank_iqr	0.0	0.0	0.0	0.0	0.0
Qwen3-8B	metamath	flat_nuclear	erank_depth_slope	0.0	0.0	0.0	0.0	0.0
Qwen3-8B	metamath	flat_nuclear	erank_depth_slope_normalized	0.0	0.0	0.0	0.0	0.0
Qwen3-8B	metamath	flat_nuclear	erank_attn_mlp_gap	0.0	0.0	0.0	0.0	0.0
Qwen3-8B	metamath	flat_nuclear	gamma_param	0.41605	0.03939287879807718	0.37057	0.4381	0.43948
Qwen3-8B	metamath	flat_nuclear	eta_param	0.5839500000000001	0.03939287879807723	0.62943	0.5619	0.56052
Qwen3-8B	metamath	flat_nuclear	fro_ratio	0.6445233333333333	0.03098497915657412	0.60875	0.66189	0.66293
Qwen3-8B	metamath	flat_nuclear	original_head1_retention	0.03675666666666667	0.005609013579350055	0.03028	0.03997	0.04002
Qwen3-8B	metamath	flat_nuclear	previous_mean_entropy_rank	1.0	0.0	1.0	1.0	1.0
Qwen3-8B	metamath	flat_nuclear	base_left_overlap_k16	0.005672	0.00013291726750125466	0.005519	0.005738	0.005759
Qwen3-8B	metamath	flat_nuclear	base_right_overlap_k16	0.008622666666666667	0.00013839918111511104	0.008497	0.0086	0.008771
Qwen3-8B	metamath	flat_nuclear	base_bilateral_overlap_k16	3.7e-05	1.0000000000000006e-06	3.7e-05	3.6e-05	3.8e-05
Qwen3-8B	metamath	flat_nuclear	target	87.54106646449331	0.5790467140454693	88.17285822592874	87.03563305534496	87.41470811220621
Qwen3-8B	metamath	flat_nuclear	off_score	75.49362319213365	0.9260709978446754	75.19983334415933	76.5309523567975	74.75008387544415
Qwen3-8B	metamath	flat_nuclear	forgetting_gap	0.0	0.0	0.0	0.0	0.0
Qwen3-8B	metamath	flat_nuclear	target_gain	3.487490523123578	0.4971522762927929	4.018195602729335	3.0326004548900727	3.4116755117513264
Qwen3-8B	metamath	flat_nuclear	off_gain	7.33589086764681	3.6869929889714137	3.9067563484880736	6.865350661251142	11.235565593201216
Qwen3-8B	metamath	flat_nuclear	forgetting_reduction	4.948178871807206	4.054152408740407	1.798836842342548	3.5232856949641636	9.522414078114908
Qwen3-8B	metamath	hns_f4_s1	shannon_eff_rank	15.998330000000001	3.46410161510917e-05	15.99829	15.99835	15.99835
Qwen3-8B	metamath	hns_f4_s1	r2_participation	15.996666666666664	7.57187779441869e-05	15.99658	15.99672	15.9967
Qwen3-8B	metamath	hns_f4_s1	stable_rank	15.358260000000001	0.009993978186888946	15.34672	15.364	15.36406
Qwen3-8B	metamath	hns_f4_s1	flatness	0.9998966666666668	5.773502691934081e-06	0.99989	0.9999	0.9999
Qwen3-8B	metamath	hns_f4_s1	gini	0.007656666666666667	9.2915732431776e-05	0.00776	0.00763	0.00758
Qwen3-8B	metamath	hns_f4_s1	decay_slope	-0.0028966666666666667	4.041451884327368e-05	-0.00294	-0.00289	-0.00286
Qwen3-8B	metamath	hns_f4_s1	erank_energy	15.993363333333335	0.0001514375558879828	15.99319	15.99347	15.99343
Qwen3-8B	metamath	hns_f4_s1	entropy_gap	0.0003133333333333334	5.773502691896273e-06	0.00032	0.00031	0.00031
Qwen3-8B	metamath	hns_f4_s1	hill_tail_contrast	0.01409	0.00017320508075688767	0.01429	0.01399	0.01399
Qwen3-8B	metamath	hns_f4_s1	d_flat_l1	0.011250000000000001	0.00013747727084867565	0.0114	0.01113	0.01122
Qwen3-8B	metamath	hns_f4_s1	soft_rank	0.97964	0.0003214031735997797	0.97927	0.9798	0.97985
Qwen3-8B	metamath	hns_f4_s1	head_tail	0.035916666666666666	0.00041860880704224716	0.0364	0.03567	0.03568
Qwen3-8B	metamath	hns_f4_s1	erank_iqr	0.0007	9.643650760992952e-05	0.00063	0.00066	0.00081
Qwen3-8B	metamath	hns_f4_s1	erank_depth_slope	6.6666666666666675e-06	5.773502691896259e-06	1e-05	1e-05	0.0
Qwen3-8B	metamath	hns_f4_s1	erank_depth_slope_normalized	0.00024999999999999995	0.00013114877048604	0.00037	0.00027	0.00011
Qwen3-8B	metamath	hns_f4_s1	erank_attn_mlp_gap	-8.333333333333333e-05	6.027713773341708e-05	-9e-05	-0.00014	-2e-05
Qwen3-8B	metamath	hns_f4_s1	gamma_param	0.41557333333333335	0.038877245701481114	0.37069	0.43727	0.43876
Qwen3-8B	metamath	hns_f4_s1	eta_param	0.5849833333333333	0.03836172093810877	0.62927	0.56364	0.56204
Qwen3-8B	metamath	hns_f4_s1	fro_ratio	0.6445866666666668	0.030987949808487427	0.60881	0.66195	0.663
Qwen3-8B	metamath	hns_f4_s1	original_head1_retention	0.03627	0.005352036995387831	0.03009	0.03936	0.03936
Qwen3-8B	metamath	hns_f4_s1	previous_mean_entropy_rank	0.9998900000000001	1.3597399555105182e-16	0.99989	0.99989	0.99989
Qwen3-8B	metamath	hns_f4_s1	base_left_overlap_k16	0.005664	0.00013826423977297936	0.005505	0.005731	0.005756
Qwen3-8B	metamath	hns_f4_s1	base_right_overlap_k16	0.008613333333333334	0.00011993887332026032	0.008518	0.008574	0.008748
Qwen3-8B	metamath	hns_f4_s1	base_bilateral_overlap_k16	3.7e-05	1.0000000000000006e-06	3.7e-05	3.6e-05	3.8e-05
Qwen3-8B	metamath	hns_f4_s1	target	87.46525145312104	0.683737642581182	88.17285822592874	86.8081880212282	87.41470811220621
Qwen3-8B	metamath	hns_f4_s1	off_score	75.2767121929747	1.2347391862575827	74.9204081763363	76.65042534313297	74.25930305945482
Qwen3-8B	metamath	hns_f4_s1	forgetting_gap	0.0	0.0	0.0	0.0	0.0
Qwen3-8B	metamath	hns_f4_s1	target_gain	3.4116755117513264	0.6065200909780089	4.018195602729335	2.8051554207733176	3.4116755117513264
Qwen3-8B	metamath	hns_f4_s1	off_gain	7.118979868487846	3.560622816791229	3.6273311806650383	6.984823647586609	10.74478477721189
