base	task	configuration	fast_steps	stable_steps	samples	groups	gain_pp	ci95_low_pp	ci95_high_pp	wrong_to_right	right_to_wrong	mcnemar_exact_p	mcnemar_holm_p
Llama-3.1-8B-Instruct	metamath	4+2	4	2	1319	1	3.9423805913570886	2.1986353297952994	5.761940864291129	98	46	1.754849897541076e-05	0.00017548498975410759
Llama-3.1-8B-Instruct	metamath	8+0	8	0	1319	1	3.56330553449583	1.819560272934041	5.307050796057619	93	46	8.27371081788591e-05	0.0004136855408942955
Llama-3.1-8B-Instruct	metamath	8+1	8	1	1319	1	3.0326004548900682	1.2130401819560273	4.852160727824109	95	55	0.0013699461049550086	0.002739892209910017
Llama-3.1-8B-Instruct	metamath	8+2	8	2	1319	1	3.7149355572403335	1.9711902956785443	5.458680818802123	93	44	3.439319533517948e-05	0.00030953875801661534
Llama-3.1-8B-Instruct	tulu	0+0	0	0	541	1	0.36968576709796674	-1.478743068391867	2.2181146025878005	15	13	0.8505540192127172	1.0
Llama-3.1-8B-Instruct	tulu	2+0	2	0	541	1	1.8484288354898337	-1.2939001848428837	4.990757855822551	42	32	0.2954132806556805	1.0
Llama-3.1-8B-Instruct	tulu	2+1	2	1	541	1	1.8484288354898337	-1.1090573012939002	4.990757855822551	41	31	0.2887842804141044	1.0
Llama-3.1-8B-Instruct	tulu	2+2	2	2	541	1	1.2939001848428837	-1.8484288354898337	4.436229205175601	40	33	0.4827885568440507	1.0
Llama-3.1-8B-Instruct	tulu	4+0	4	0	541	1	2.2181146025878005	-1.1090573012939002	5.545286506469501	47	35	0.22424452830607075	1.0
Llama-3.1-8B-Instruct	tulu	4+1	4	1	541	1	1.6635859519408502	-1.478743068391867	4.805914972273567	43	34	0.36203179773966454	1.0
Llama-3.1-8B-Instruct	tulu	4+2	4	2	541	1	1.8484288354898337	-1.1090573012939002	4.805914972273567	40	30	0.2819789217936538	1.0
Llama-3.1-8B-Instruct	tulu	8+0	8	0	541	1	1.478743068391867	-1.6635859519408502	4.436229205175601	40	32	0.4095793959270725	1.0
Llama-3.1-8B-Instruct	tulu	8+1	8	1	541	1	1.1090573012939002	-2.033271719038817	4.251386321626617	40	34	0.5613807442990032	1.0
Llama-3.1-8B-Instruct	tulu	8+2	8	2	541	1	2.033271719038817	-1.1090573012939002	5.175600739371535	44	33	0.2543046661477025	1.0
Llama-3.1-8B-Instruct	commonsense	0+0	0	0	22419	8	-0.008381556122710607	-0.08825013306340296	0.071786133218378	31	25	0.5044037600228365	0.5044037600228365
Llama-3.1-8B-Instruct	commonsense	2+0	2	0	22419	8	-0.5536146683495561	-0.9666566646657576	-0.14849541869896415	416	638	8.370879328328743e-12	7.533791395495869e-11
Llama-3.1-8B-Instruct	commonsense	2+1	2	1	22419	8	-0.4001169614243075	-0.7973961365025577	-0.006605349343717443	402	604	2.043254241691493e-10	1.4302779691840453e-09
Llama-3.1-8B-Instruct	commonsense	2+2	2	2	22419	8	-0.3832594840319952	-0.780766646024748	0.01185292573436734	400	600	2.72846415606576e-10	1.637078493639456e-09
Llama-3.1-8B-Instruct	commonsense	4+0	4	0	22419	8	-0.44259876437391116	-0.8497979310396478	-0.040995814016170536	428	650	1.4336555332450342e-11	1.1469244265960273e-10
Llama-3.1-8B-Instruct	commonsense	4+1	4	1	22419	8	-0.44205299654767144	-0.8436745944420487	-0.03465956462451685	412	614	3.074770396525135e-10	1.637078493639456e-09
Llama-3.1-8B-Instruct	commonsense	4+2	4	2	22419	8	-0.42921298234624256	-0.8233307619283623	-0.037727581831683454	404	603	3.8652603510849924e-10	1.637078493639456e-09
Llama-3.1-8B-Instruct	commonsense	8+0	8	0	22419	8	-0.5002210305560661	-0.9162918790864388	-0.08910237826009484	431	664	1.9623371400212932e-12	1.962337140021293e-11
Llama-3.1-8B-Instruct	commonsense	8+1	8	1	22419	8	-0.30160809191806387	-0.704407214510503	0.0973784576159557	422	604	1.4694524288469136e-08	2.9389048576938272e-08
Llama-3.1-8B-Instruct	commonsense	8+2	8	2	22419	8	-0.37782835621442845	-0.7704659903873822	0.020802945097294738	407	602	9.01406678846331e-10	2.704220036538993e-09
