group	method	n	target	off_score	forgetting_gap	raw_fpr	full_moment_pr	energy_ratio	target_gain	off_gain	fg_reduction	gain_magicoder	gain_metamath	gain_tulu	gain_commonsense	gain_arc_challenge	gain_arc_easy	gain_boolq	gain_hellaswag	gain_openbookqa	gain_piqa	gain_siqa	gain_winogrande
base_task/Qwen3-8B/magicoder	flat_e	3	75.20325203252033	81.17729515968158	0.0	2.5613469696842763	2.0887712052543868	0.023472252894928897	10.975609756097557	3.140529126073441	1.6655167511624869	10.975609756097557	5.180692443770535	4.3746149106592656	-0.13371997620946274	-2.3606370875995446	-1.0521885521885488	-0.07135575942915547	0.44479851291242917	0.20000000000000018	0.6710192237939783	-0.08529512111907407	1.1838989739542227
base_task/Qwen3-8B/metamath	hns_f4_s1	3	87.46525145312104	75.2767121929747	0.0	7.464853000743339	4.767703404770262	0.055073826645965135	3.4116755117513264	7.118979868487848	4.948178871807206	15.243902439024394	3.4116755117513264	4.68268638324092	1.4303507831982358	2.986348122866896	0.673400673400674	-0.5402650356778782	1.9020115514837694	1.6000000000000014	1.867972433804858	1.006482429205054	1.9468560905024985
base_task/Qwen3-8B/metamath	scalar_e	3	86.17639625979278	73.5454553583008	0.474254742547426	1.5412365127059813	1.4376400997306342	0.055073826645965135	2.1228203184230474	5.387723033813953	4.473924129259781	11.178861788617889	2.1228203184230474	3.5736290819470184	1.4106782308769823	2.3890784982935176	0.7154882154882173	-0.41794087665647517	2.0215096594303907	2.0666666666666687	1.9767863619876664	0.9553053565336089	1.5785319652722969
base_task/Qwen3-8B/metamath	flat_e	3	87.74323982815265	75.06048522366892	0.0	7.290497592906925	4.715203888620667	0.055073826645965135	3.689663886782924	6.902752899182069	4.948178871807206	14.837398373983744	3.689663886782924	4.436229205175603	1.4346311183868607	3.014789533560865	0.6734006734006778	-0.5606523955147787	1.882095200159332	1.666666666666668	1.9405150525933983	0.8870692596383511	1.9731649565903675
base_task/Qwen3-8B/tulu	hns_f4_s1	3	71.41096734442391	84.93077147314409	0.0	10.544210139872247	7.390727278174185	0.2019251240739799	4.436229205175593	-0.6961158794411707	0.0	-2.2357723577235666	0.0	4.436229205175593	0.14742471940004975	0.7963594994311688	0.08417508417508286	-0.22426095820591666	0.6937529044679	-0.20000000000000018	0.7616974972796564	-0.15353121801433187	-0.5787950539331751
base_task/Qwen3-8B/tulu	scalar_e	3	72.0887245841035	84.50875338574012	0.0	2.402983082334386	2.1214205273504563	0.2019251240739799	5.1139864448552	-1.1181339668451358	0.0	-3.4552845528455265	-0.07581501137224696	5.1139864448552	0.17669766368237086	0.7394766780432271	-0.042087542087543284	-0.13251783893986438	0.6738365531434587	-0.06666666666666672	0.7072905331882503	0.03411804844762519	-0.49986845566955723
base_task/Qwen3-8B/tulu	flat_e	3	71.65742452248922	84.75424598229017	0.0	10.38980560957047	7.328529568906329	0.2019251240739799	4.682686383240906	-0.872641370295085	0.0	-2.6422764227642213	-0.12635835228707984	4.682686383240906	0.15071066416604614	0.7963594994311688	0.05611672278338734	-0.1936799184505659	0.6671977693686512	0.0	0.7435618425825186	-0.15353121801432815	-0.7103393843725306
base_task/Llama-3.1-8B-Instruct/magicoder	hns_f4_s1	3	54.674796747967484	65.80161040281645	1.2890533172099585	4.428776722839512	3.6547513785994306	0.029885185721525622	0.2032520325203251	4.60319499859786	3.3077625530428123	0.2032520325203251	5.433409148344706	7.332101047443007	1.0440748000058828	2.1331058020477855	0.3928170594837262	2.3343527013251744	3.445528779127662	-0.20000000000000018	-1.3601741022850942	-1.944728761514843	3.551696921862664
base_task/Llama-3.1-8B-Instruct/magicoder	scalar_e	3	57.926829268292686	66.11463310643326	1.1841627703132331	1.2389344444750634	1.1983459387024087	0.029885185721525615	3.4552845528455216	4.916217702214669	3.412653099939538	3.4552845528455216	6.242102602982058	7.578558225508313	0.9279922781536337	2.2184300341296965	0.37878787878788217	2.273190621814473	2.8845515501560133	-0.733333333333334	-1.614073268044976	-1.5353121801432963	3.551696921862664
base_task/Llama-3.1-8B-Instruct/magicoder	flat_e	3	55.28455284552845	65.6577464758148	1.2148475978069788	4.287303837748277	3.5736558221288024	0.029885185721525615	0.813008130081298	4.459331071596208	3.3819682724457927	0.813008130081298	4.725802375537019	7.516943930991988	1.1352469082596173	2.332195676905576	0.2805836139169478	2.39551478083588	3.47872269800173	-0.33333333333333365	-1.3057671381936882	-1.7911975435005114	4.025256511444357
base_task/Llama-3.1-8B-Instruct/metamath	hns_f4_s1	3	79.35304523629013	62.70953530741166	0.6660637893679195	7.332711010817533	5.358190677919434	0.1537348650089373	3.8160222390700085	4.118270397047479	3.3994898411047223	1.8292682926829258	3.8160222390700085	3.6968576709796657	6.828685227479849	13.139931740614339	10.46576879910213	2.4770642201834856	11.926575051450575	5.466666666666661	5.4951033732317685	2.4223814397816437	3.2359905288082085
base_task/Llama-3.1-8B-Instruct/metamath	scalar_e	3	78.7465251453121	62.20822459871085	1.26160207220727	2.2639392236753295	1.987524163302852	0.15373486500893727	3.2095021480919947	3.6169596883466704	2.8039515582653727	2.439024390243894	3.2095021480919947	2.6494146642020957	5.762440010594022	9.86916951080774	8.417508417508415	2.1202854230377155	9.749053973312089	6.06666666666666	5.476967718534638	2.2688502217673157	2.1310181531175996
base_task/Llama-3.1-8B-Instruct/metamath	flat_e	3	79.30250189537527	62.12604326966518	1.0525804046316947	7.211180258201037	5.261097894408121	0.1537348650089373	3.765478898155166	3.5347783593009985	3.012973225840948	1.2195121951219505	3.765478898155166	2.5261860751694436	6.858636807611596	13.28213879408419	10.325476992143656	2.487257900101932	11.900019916351331	5.399999999999994	5.60391730141458	2.3712043671101983	3.4990791896869227
base_task/Llama-3.1-8B-Instruct/tulu	hns_f4_s1	3	65.00308071472581	66.76986616979924	0.10945823152014277	11.715017821081767	9.078349682113013	0.11933265870213361	2.2797288971041305	1.0736783109899808	0.8634727124132283	-0.8130081300813051	5.433409148344708	2.2797288971041305	-1.3993660852934557	-2.5597269624573387	-1.2485970819304137	-0.020387359836900504	-4.225585872668129	-4.0	-0.3083061298512879	-0.3582395087001015	1.5259142330965518
base_task/Llama-3.1-8B-Instruct/tulu	scalar_e	3	64.63339494762785	67.07643479111607	0.22809186819920216	3.626855030406629	3.2790229484521727	0.11933265870213361	1.9100431300061633	1.380246932306818	0.744839075734169	-1.01626016260163	6.696992671215568	1.9100431300061633	-1.5399917116934698	-2.6166097838452806	-1.2485970819304175	0.050968399592254965	-6.06120958640377	-3.733333333333333	-0.3445774392455562	-0.3923575571477304	2.0257826887661126
base_task/Llama-3.1-8B-Instruct/tulu	flat_e	3	64.44855206407887	66.62097374417426	0.10683212977683827	11.594577464121665	8.997694777324854	0.11933265870213361	1.725200246457182	0.9247858853650163	0.8660988141565329	-1.219512195121953	5.382865807429876	1.725200246457182	-1.388995956212857	-2.6166097838452766	-1.290684624017957	-0.12232415902140303	-4.378277899488814	-3.9999999999999964	-0.3083061298512879	-0.29000341180484	1.8942383583267535
