base	task	seed	checkpoint	method	benchmark	role	recovery_rate	recovery_rate_defined	retention_rate	retention_rate_defined	new_success_rate	new_success_rate_defined	new_damage_rate	new_damage_rate_defined	new_success_conditional_rate	new_success_conditional_rate_defined	new_damage_conditional_rate	new_damage_conditional_rate_defined	n_units	samples	recovery_set_size	retention_set_size	new_success_set_size	new_damage_set_size	recovered	retained	new_success	new_damage
Qwen3-8B	tulu	42	Qwen3-8B/tulu/seed42	scalar_e	commonsense	off_task	0.5280612621621393	8	0.7082005770685691	8	0.0024576054194312483	8	0.0017825104283672156	8	0.02602954051540461	8	0.002337221213927861	8	8	22419	676	815	2753	18175	314	548	66	32
Qwen3-8B	tulu	42	Qwen3-8B/tulu/seed42	flat_e	commonsense	off_task	0.5125153568851128	8	0.6872138840325697	8	0.0033964787466735733	8	0.0024533890178323045	8	0.03693105230592379	8	0.00303470458870632	8	8	22419	676	815	2753	18175	323	537	84	50
Qwen3-8B	tulu	43	Qwen3-8B/tulu/seed43	hns_f4_s1	commonsense	off_task	0.40340670042026383	8	0.7744228618456919	8	0.0033445951137551066	8	0.002708115634936988	8	0.03533735778139371	8	0.003659891412800017	8	8	22419	585	769	2799	18266	237	573	68	54
Qwen3-8B	tulu	43	Qwen3-8B/tulu/seed43	scalar_e	commonsense	off_task	0.38120791391677294	8	0.7884258586753661	8	0.0026440909434918055	8	0.002240376410308298	8	0.024256465624610375	8	0.0030775422049979725	8	8	22419	585	769	2799	18266	220	583	56	39
Qwen3-8B	tulu	43	Qwen3-8B/tulu/seed43	flat_e	commonsense	off_task	0.39633233890398634	8	0.7802439758118904	8	0.0033011284685465856	8	0.0028485060361933693	8	0.037946678919527195	8	0.003852934465625627	8	8	22419	585	769	2799	18266	230	573	73	57
Qwen3-8B	tulu	44	Qwen3-8B/tulu/seed44	hns_f4_s1	commonsense	off_task	0.46623772673478336	8	0.7391526506125845	8	0.0024048071123165577	8	0.0019323459454923596	8	0.030809802041189955	8	0.00252919265250046	8	8	22419	692	821	2747	18159	312	584	62	43
Qwen3-8B	tulu	44	Qwen3-8B/tulu/seed44	scalar_e	commonsense	off_task	0.47584752418944937	8	0.7580900676295033	8	0.0019449707391078672	8	0.001156580867828042	8	0.024817488050106577	8	0.001581363956010913	8	8	22419	692	821	2747	18159	298	606	46	27
Qwen3-8B	tulu	44	Qwen3-8B/tulu/seed44	flat_e	commonsense	off_task	0.4811567601342379	8	0.7357942401124824	8	0.0030988230907719556	8	0.002257807788217032	8	0.0347470546369517	8	0.0030474749850491786	8	8	22419	692	821	2747	18159	310	583	68	50
Llama-3.1-8B-Instruct	magicoder	42	Llama-3.1-8B-Instruct/magicoder/seed42	hns_f4_s1	magicoder	target	0.5555555555555556	1	0.65	1	0.012195121951219513	1	0.018292682926829267	1	0.034482758620689655	1	0.04411764705882353	1	1	164	18	20	58	68	10	13	2	3
Llama-3.1-8B-Instruct	magicoder	42	Llama-3.1-8B-Instruct/magicoder/seed42	scalar_e	magicoder	target	0.7777777777777778	1	0.6	1	0.0	1	0.012195121951219513	1	0.0	1	0.029411764705882353	1	1	164	18	20	58	68	14	12	0	2
