checkpoint	benchmark	level	comparison	metric	mean_difference	ci_low	ci_high	bootstrap_defined	bootstrap_resamples	uncertainty
Llama-3.1-8B-Instruct/magicoder/seed42	openbookqa	atomic_benchmark	hns_f4_s1 minus scalar_e	recovery_rate	-0.045454545454545414	-0.15789473684210525	0.0	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	openbookqa	atomic_benchmark	hns_f4_s1 minus scalar_e	retention_rate	-0.18181818181818182	-0.4545454545454545	0.0	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	openbookqa	atomic_benchmark	hns_f4_s1 minus scalar_e	new_success_rate	0.002	0.0	0.006	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	openbookqa	atomic_benchmark	hns_f4_s1 minus scalar_e	new_damage_rate	-0.002	-0.006	0.0	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	openbookqa	atomic_benchmark	hns_f4_s1 minus flat_e	recovery_rate	-0.045454545454545414	-0.15789473684210525	0.0	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	openbookqa	atomic_benchmark	hns_f4_s1 minus flat_e	retention_rate	-0.09090909090909088	-0.3	0.0	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	openbookqa	atomic_benchmark	hns_f4_s1 minus flat_e	new_success_rate	0.004	0.0	0.01	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	openbookqa	atomic_benchmark	hns_f4_s1 minus flat_e	new_damage_rate	0.0	0.0	0.0	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	openbookqa	atomic_benchmark	scalar_e minus flat_e	recovery_rate	0.0	0.0	0.0	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	openbookqa	atomic_benchmark	scalar_e minus flat_e	retention_rate	0.09090909090909094	0.0	0.3076923076923077	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	openbookqa	atomic_benchmark	scalar_e minus flat_e	new_success_rate	0.002	0.0	0.006	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	openbookqa	atomic_benchmark	scalar_e minus flat_e	new_damage_rate	0.002	0.0	0.006	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	piqa	atomic_benchmark	hns_f4_s1 minus scalar_e	recovery_rate	0.042857142857142816	-0.04689360119047619	0.13699914383561637	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	piqa	atomic_benchmark	hns_f4_s1 minus scalar_e	retention_rate	-0.030303030303030276	-0.16216216216216212	0.10006410256410224	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	piqa	atomic_benchmark	hns_f4_s1 minus scalar_e	new_success_rate	0.0	-0.001632208922742111	0.001632208922742111	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	piqa	atomic_benchmark	hns_f4_s1 minus scalar_e	new_damage_rate	-0.000544069640914037	-0.002720348204570185	0.001088139281828074	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	piqa	atomic_benchmark	hns_f4_s1 minus flat_e	recovery_rate	0.0	-0.069468896713615	0.0714285714285714	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	piqa	atomic_benchmark	hns_f4_s1 minus flat_e	retention_rate	-0.030303030303030276	-0.13793103448275865	0.06666666666666665	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	piqa	atomic_benchmark	hns_f4_s1 minus flat_e	new_success_rate	-0.000544069640914037	-0.002720348204570185	0.001088139281828074	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	piqa	atomic_benchmark	hns_f4_s1 minus flat_e	new_damage_rate	-0.001088139281828074	-0.002720348204570185	0.0	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	piqa	atomic_benchmark	scalar_e minus flat_e	recovery_rate	-0.042857142857142816	-0.1296356421356421	0.04166666666666663	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	piqa	atomic_benchmark	scalar_e minus flat_e	retention_rate	0.0	-0.125	0.11436974789915924	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	piqa	atomic_benchmark	scalar_e minus flat_e	new_success_rate	-0.000544069640914037	-0.001632208922742111	0.0	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	piqa	atomic_benchmark	scalar_e minus flat_e	new_damage_rate	-0.000544069640914037	-0.003264417845484222	0.002176278563656148	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	siqa	atomic_benchmark	hns_f4_s1 minus scalar_e	recovery_rate	-0.02352941176470591	-0.0898876404494382	0.038486842105263104	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	siqa	atomic_benchmark	hns_f4_s1 minus scalar_e	retention_rate	-0.06	-0.12631578947368421	0.0	2000	2000	paired test samples conditional on one fixed source checkpoint
