checkpoint	base	task	seed	method	benchmark	recovery_rate	recovery_rate_defined	retention_rate	retention_rate_defined	new_success_rate	new_success_rate_defined	new_damage_rate	new_damage_rate_defined	new_success_conditional_rate	new_success_conditional_rate_defined	new_damage_conditional_rate	new_damage_conditional_rate_defined	n_units	samples	recovery_set_size	retention_set_size	new_success_set_size	new_damage_set_size	recovered	retained	new_success	new_damage	n_000	n_001	n_010	n_011	n_100	n_101	n_110	n_111
Llama-3.1-8B-Instruct/metamath/seed43	Llama-3.1-8B-Instruct	metamath	43	scalar_e	commonsense	0.6555653227283302	8	0.6152903028327898	8	0.018347243788668307	8	0.00936771415819226	8	0.07678590662334218	8	0.016815666255549845	8	8	22419	2944	826	6512	12137	2015	510	525	181	5987	525	316	510	929	2015	181	11956
Llama-3.1-8B-Instruct/metamath/seed43	Llama-3.1-8B-Instruct	metamath	43	flat_e	commonsense	0.6975560332369264	8	0.6286934172681675	8	0.019651823672337594	8	0.006661882024409267	8	0.079401654520474	8	0.011551314356798218	8	8	22419	2944	826	6512	12137	2157	519	656	149	5856	656	307	519	787	2157	149	11988
Llama-3.1-8B-Instruct/metamath/seed44	Llama-3.1-8B-Instruct	metamath	44	hns_f4_s1	magicoder	0.4117647058823529	1	0.5454545454545454	1	0.024390243902439025	1	0.024390243902439025	1	0.07142857142857142	1	0.057971014492753624	1	1	164	17	22	56	69	7	12	4	4	52	4	10	12	10	7	4	65
Llama-3.1-8B-Instruct/metamath/seed44	Llama-3.1-8B-Instruct	metamath	44	scalar_e	magicoder	0.5294117647058824	1	0.6818181818181818	1	0.03048780487804878	1	0.024390243902439025	1	0.08928571428571429	1	0.057971014492753624	1	1	164	17	22	56	69	9	15	5	4	51	5	7	15	8	9	4	65
Llama-3.1-8B-Instruct/metamath/seed44	Llama-3.1-8B-Instruct	metamath	44	flat_e	magicoder	0.4117647058823529	1	0.5909090909090909	1	0.024390243902439025	1	0.036585365853658534	1	0.07142857142857142	1	0.08695652173913043	1	1	164	17	22	56	69	7	13	4	6	52	4	9	13	10	7	6	63
Llama-3.1-8B-Instruct/metamath/seed44	Llama-3.1-8B-Instruct	metamath	44	hns_f4_s1	metamath	0.6507936507936508	1	0.8526315789473684	1	0.043214556482183475	1	0.028051554207733132	1	0.27014218009478674	1	0.05308464849354376	1	1	1319	126	285	211	697	82	243	57	37	154	57	42	243	44	82	37	660
Llama-3.1-8B-Instruct/metamath/seed44	Llama-3.1-8B-Instruct	metamath	44	scalar_e	metamath	0.6428571428571429	1	0.8350877192982457	1	0.04397270659590599	1	0.02577710386656558	1	0.27488151658767773	1	0.04878048780487805	1	1	1319	126	285	211	697	81	238	58	34	153	58	47	238	45	81	34	663
Llama-3.1-8B-Instruct/metamath/seed44	Llama-3.1-8B-Instruct	metamath	44	flat_e	metamath	0.6349206349206349	1	0.8456140350877193	1	0.04245640636846096	1	0.025018953752843062	1	0.26540284360189575	1	0.047345767575322814	1	1	1319	126	285	211	697	80	241	56	33	155	56	44	241	46	80	33	664
Llama-3.1-8B-Instruct/metamath/seed44	Llama-3.1-8B-Instruct	metamath	44	hns_f4_s1	tulu	0.6551724137931034	1	0.3953488372093023	1	0.02033271719038817	1	0.0166358595194085	1	0.06790123456790123	1	0.03237410071942446	1	1	541	58	43	162	278	38	17	11	9	151	11	26	17	20	38	9	269
Llama-3.1-8B-Instruct/metamath/seed44	Llama-3.1-8B-Instruct	metamath	44	scalar_e	tulu	0.6379310344827587	1	0.37209302325581395	1	0.018484288354898338	1	0.024029574861367836	1	0.06172839506172839	1	0.046762589928057555	1	1	541	58	43	162	278	37	16	10	13	152	10	27	16	21	37	13	265
