cohort	group	feature	outcome	n_checkpoints	n_defined	mean_rho	ci_low	ci_high	positive	zero	negative
A_all_versions	base/Qwen3-8B	raw_fpr	off_gain	9	9	0.024024999005214882	-0.36848342224248365	0.4604791475999524	3	0	6
A_all_versions	base/Llama-3.1-8B-Instruct	raw_fpr	off_gain	9	9	-0.07808124676694844	-0.33234581957213954	0.16216874328520064	4	0	5
A_all_versions	task/magicoder	raw_fpr	off_gain	6	6	-0.12613124477737828	-0.2882999880625789	0.09009374626955591	1	0	5
A_all_versions	task/metamath	raw_fpr	off_gain	6	6	0.5735968512495059	0.32426240844850995	0.8228562159286105	6	0	0
A_all_versions	task/tulu	raw_fpr	off_gain	6	6	-0.5285499781147279	-0.7087374706538397	-0.34836248557561617	0	0	6
A_all_versions	base/Qwen3-8B	raw_fpr	fg_reduction	9	6	0.6054746024319967	0.5149286505444371	0.6960205543195562	6	0	0
A_all_versions	base/Llama-3.1-8B-Instruct	raw_fpr	fg_reduction	9	9	0.34887876752103875	-0.006538999972210806	0.6716310463474742	7	0	2
A_all_versions	task/magicoder	raw_fpr	fg_reduction	6	6	0.5499632770151007	0.34999855779681865	0.7194074496881028	6	0	0
A_all_versions	task/metamath	raw_fpr	fg_reduction	6	6	0.6973511763028363	0.6148345688932891	0.764562997596839	6	0	0
A_all_versions	task/tulu	raw_fpr	fg_reduction	6	3	-0.2370433992087643	-0.8090398349558906	0.3783937343321348	1	0	2
A_all_versions	base/Qwen3-8B	raw_fpr	gain_magicoder	9	9	-0.0021615342311642133	-0.40327013462721994	0.4445031029413445	3	0	6
A_all_versions	base/Llama-3.1-8B-Instruct	raw_fpr	gain_magicoder	9	9	-0.43672639084897413	-0.7070790389056448	-0.13218692958951672	2	0	7
A_all_versions	task/magicoder	raw_fpr	gain_magicoder	6	6	-0.2925558357431714	-0.5474441271919773	-0.04171010043392696	1	0	5
A_all_versions	task/metamath	raw_fpr	gain_magicoder	6	6	0.264755569531801	-0.27906338508893497	0.81160482718284	4	0	2
A_all_versions	task/tulu	raw_fpr	gain_magicoder	6	6	-0.6305316214088372	-0.7639037982218825	-0.4499672459725583	0	0	6
A_all_versions	base/Qwen3-8B	raw_fpr	gain_metamath	9	9	0.08176837560575538	-0.1687469590350555	0.34783848177782895	5	0	4
A_all_versions	base/Llama-3.1-8B-Instruct	raw_fpr	gain_metamath	9	9	0.31006924104061506	-0.03605018164665956	0.6544339016847806	5	0	4
A_all_versions	task/magicoder	raw_fpr	gain_metamath	6	6	-0.16403721081081732	-0.3063187373164901	0.06306562238868914	1	0	5
A_all_versions	task/metamath	raw_fpr	gain_metamath	6	6	0.711210682727096	0.533863246135729	0.8673368239488141	6	0	0
