cohort	checkpoint	feature	outcome	spearman	n_arms
A_all_versions	Llama-3.1-8B-Instruct/metamath/seed43	log_energy_ratio	fg_reduction	-0.5188745216627708	7
A_all_versions	Llama-3.1-8B-Instruct/metamath/seed44	log_energy_ratio	fg_reduction	-0.5609681940050744	7
A_all_versions	Llama-3.1-8B-Instruct/tulu/seed42	log_energy_ratio	fg_reduction	-0.2964997266644405	7
A_all_versions	Llama-3.1-8B-Instruct/tulu/seed43	log_energy_ratio	fg_reduction	0.7858252779857413	7
A_all_versions	Llama-3.1-8B-Instruct/tulu/seed44	log_energy_ratio	fg_reduction	0.15384615384615385	7
A_all_versions	Qwen3-8B/magicoder/seed42	log_energy_ratio	fg_reduction	-0.6354889093022426	7
A_all_versions	Qwen3-8B/magicoder/seed43	log_energy_ratio	fg_reduction	-0.6354889093022426	7
A_all_versions	Qwen3-8B/magicoder/seed44	log_energy_ratio	fg_reduction	-0.6354889093022426	7
A_all_versions	Qwen3-8B/metamath/seed42	log_energy_ratio	fg_reduction	-0.6933752452815364	7
A_all_versions	Qwen3-8B/metamath/seed43	log_energy_ratio	fg_reduction	-0.6354889093022426	7
A_all_versions	Qwen3-8B/metamath/seed44	log_energy_ratio	fg_reduction	-0.6933752452815364	7
A_all_versions	Qwen3-8B/tulu/seed42	log_energy_ratio	fg_reduction		7
A_all_versions	Qwen3-8B/tulu/seed43	log_energy_ratio	fg_reduction		7
A_all_versions	Qwen3-8B/tulu/seed44	log_energy_ratio	fg_reduction		7
A_all_versions	Llama-3.1-8B-Instruct/magicoder/seed42	raw_fpr	fg_reduction	0.12613124477737828	7
A_all_versions	Llama-3.1-8B-Instruct/magicoder/seed43	raw_fpr	fg_reduction	0.8288624656799143	7
A_all_versions	Llama-3.1-8B-Instruct/magicoder/seed44	raw_fpr	fg_reduction	0.8	7
A_all_versions	Llama-3.1-8B-Instruct/metamath/seed42	raw_fpr	fg_reduction	0.7387687194103585	7
A_all_versions	Llama-3.1-8B-Instruct/metamath/seed43	raw_fpr	fg_reduction	0.702731220902536	7
A_all_versions	Llama-3.1-8B-Instruct/metamath/seed44	raw_fpr	fg_reduction	0.6545454545454545	7
A_all_versions	Llama-3.1-8B-Instruct/tulu/seed42	raw_fpr	fg_reduction	0.3783937343321348	7
A_all_versions	Llama-3.1-8B-Instruct/tulu/seed43	raw_fpr	fg_reduction	-0.8090398349558906	7
A_all_versions	Llama-3.1-8B-Instruct/tulu/seed44	raw_fpr	fg_reduction	-0.2804840970025372	7
A_all_versions	Qwen3-8B/magicoder/seed42	raw_fpr	fg_reduction	0.5149286505444371	7
A_all_versions	Qwen3-8B/magicoder/seed43	raw_fpr	fg_reduction	0.5149286505444371	7
A_all_versions	Qwen3-8B/magicoder/seed44	raw_fpr	fg_reduction	0.5149286505444371	7
A_all_versions	Qwen3-8B/metamath/seed42	raw_fpr	fg_reduction	0.7865665062071158	7
A_all_versions	Qwen3-8B/metamath/seed43	raw_fpr	fg_reduction	0.5149286505444371	7
A_all_versions	Qwen3-8B/metamath/seed44	raw_fpr	fg_reduction	0.7865665062071158	7
A_all_versions	Qwen3-8B/tulu/seed42	raw_fpr	fg_reduction		7
A_all_versions	Qwen3-8B/tulu/seed43	raw_fpr	fg_reduction		7
A_all_versions	Qwen3-8B/tulu/seed44	raw_fpr	fg_reduction		7
A_all_versions	Llama-3.1-8B-Instruct/magicoder/seed42	full_moment_pr	fg_reduction	0.12613124477737828	7
A_all_versions	Llama-3.1-8B-Instruct/magicoder/seed43	full_moment_pr	fg_reduction	0.8288624656799143	7
A_all_versions	Llama-3.1-8B-Instruct/magicoder/seed44	full_moment_pr	fg_reduction	0.8	7
A_all_versions	Llama-3.1-8B-Instruct/metamath/seed42	full_moment_pr	fg_reduction	0.7387687194103585	7
A_all_versions	Llama-3.1-8B-Instruct/metamath/seed43	full_moment_pr	fg_reduction	0.594618725379069	7
A_all_versions	Llama-3.1-8B-Instruct/metamath/seed44	full_moment_pr	fg_reduction	0.6909090909090909	7
A_all_versions	Llama-3.1-8B-Instruct/tulu/seed42	full_moment_pr	fg_reduction	0.3783937343321348	7
A_all_versions	Llama-3.1-8B-Instruct/tulu/seed43	full_moment_pr	fg_reduction	-0.764093177458341	7
A_all_versions	Llama-3.1-8B-Instruct/tulu/seed44	full_moment_pr	fg_reduction	-0.24308621740219888	7
A_all_versions	Qwen3-8B/magicoder/seed42	full_moment_pr	fg_reduction	0.5149286505444371	7
A_all_versions	Qwen3-8B/magicoder/seed43	full_moment_pr	fg_reduction	0.5149286505444371	7
A_all_versions	Qwen3-8B/magicoder/seed44	full_moment_pr	fg_reduction	0.5149286505444371	7
A_all_versions	Qwen3-8B/metamath/seed42	full_moment_pr	fg_reduction	0.7865665062071158	7
A_all_versions	Qwen3-8B/metamath/seed43	full_moment_pr	fg_reduction	0.5149286505444371	7
A_all_versions	Qwen3-8B/metamath/seed44	full_moment_pr	fg_reduction	0.7865665062071158	7
A_all_versions	Qwen3-8B/tulu/seed42	full_moment_pr	fg_reduction		7
A_all_versions	Qwen3-8B/tulu/seed43	full_moment_pr	fg_reduction		7
A_all_versions	Qwen3-8B/tulu/seed44	full_moment_pr	fg_reduction		7
A_all_versions	Llama-3.1-8B-Instruct/magicoder/seed42	log_energy_ratio	gain_magicoder	-0.3461538461538462	7
A_all_versions	Llama-3.1-8B-Instruct/magicoder/seed43	log_energy_ratio	gain_magicoder	0.7359800721939873	7
A_all_versions	Llama-3.1-8B-Instruct/magicoder/seed44	log_energy_ratio	gain_magicoder	-0.2453266907313291	7
A_all_versions	Llama-3.1-8B-Instruct/metamath/seed42	log_energy_ratio	gain_magicoder	-0.18531232916527532	7
A_all_versions	Llama-3.1-8B-Instruct/metamath/seed43	log_energy_ratio	gain_magicoder	0.6923076923076924	7
A_all_versions	Llama-3.1-8B-Instruct/metamath/seed44	log_energy_ratio	gain_magicoder	0.43403952975542837	7
A_all_versions	Llama-3.1-8B-Instruct/tulu/seed42	log_energy_ratio	gain_magicoder	0.8894991799933215	7
A_all_versions	Llama-3.1-8B-Instruct/tulu/seed43	log_energy_ratio	gain_magicoder	0.8680790595108567	7
A_all_versions	Llama-3.1-8B-Instruct/tulu/seed44	log_energy_ratio	gain_magicoder	0.6990620736425556	7
A_all_versions	Qwen3-8B/magicoder/seed42	log_energy_ratio	gain_magicoder	0.18698939800169145	7
A_all_versions	Qwen3-8B/magicoder/seed43	log_energy_ratio	gain_magicoder	0.1682904582015223	7
