checkpoint	method	role	recovery_rate	recovery_rate_defined	retention_rate	retention_rate_defined	new_success_rate	new_success_rate_defined	new_damage_rate	new_damage_rate_defined	new_success_conditional_rate	new_success_conditional_rate_defined	new_damage_conditional_rate	new_damage_conditional_rate_defined	n_units	samples	recovery_set_size	retention_set_size	new_success_set_size	new_damage_set_size	recovered	retained	new_success	new_damage
Llama-3.1-8B-Instruct/tulu/seed42	flat_e	target	0.5	1	0.6666666666666666	1	0.025878003696857672	1	0.024029574861367836	1	0.09655172413793103	1	0.04609929078014184	1	1	541	54	60	145	282	27	40	14	13
Llama-3.1-8B-Instruct/tulu/seed42	flat_e	off_task	0.4718879762389363	3	0.7126229888981933	3	0.02067222543694053	3	0.019200433568046953	3	0.07218516099391267	3	0.03899800030621477	3	3	23902	1983	1530	6382	14007	541	1028	107	245
Llama-3.1-8B-Instruct/tulu/seed43	hns_f4_s1	all	0.46003294886804724	4	0.7140742139155682	4	0.021698291040153684	4	0.018599111807640765	4	0.0816755286772042	4	0.03492683433829272	4	4	24443	1566	2183	5934	14760	567	1294	157	288
Llama-3.1-8B-Instruct/tulu/seed43	hns_f4_s1	target	0.43859649122807015	1	0.7377049180327869	1	0.025878003696857672	1	0.018484288354898338	1	0.09722222222222222	1	0.035842293906810034	1	1	541	57	61	144	279	25	45	14	10
Llama-3.1-8B-Instruct/tulu/seed43	hns_f4_s1	off_task	0.4671784347480396	3	0.7061973125431621	3	0.02030505348791902	3	0.01863738629188824	3	0.07649329749553153	3	0.034621681148786936	3	3	23902	1509	2122	5790	14481	542	1249	143	278
Llama-3.1-8B-Instruct/tulu/seed43	scalar_e	all	0.4782395081699116	4	0.6799762900539197	4	0.020248296242589992	4	0.01985839447781871	4	0.07528358111073563	4	0.037945998693935834	4	4	24443	1566	2183	5934	14760	552	1279	126	321
Llama-3.1-8B-Instruct/tulu/seed43	scalar_e	target	0.38596491228070173	1	0.6721311475409836	1	0.025878003696857672	1	0.022181146025878003	1	0.09722222222222222	1	0.043010752688172046	1	1	541	57	61	144	279	22	41	14	12
Llama-3.1-8B-Instruct/tulu/seed43	scalar_e	off_task	0.5089977067996483	3	0.6825913375582319	3	0.01837172709116743	3	0.01908414396179894	3	0.0679707007402401	3	0.03625774736252376	3	3	23902	1509	2122	5790	14481	530	1238	112	309
Llama-3.1-8B-Instruct/tulu/seed43	flat_e	all	0.4783473523625261	4	0.69664508504905	4	0.022651353496990753	4	0.021006348777479616	4	0.08436003633565262	4	0.039640062298344395	4	4	24443	1566	2183	5934	14760	570	1289	147	296
Llama-3.1-8B-Instruct/tulu/seed43	flat_e	target	0.40350877192982454	1	0.7377049180327869	1	0.024029574861367836	1	0.029574861367837338	1	0.09027777777777778	1	0.05734767025089606	1	1	541	57	61	144	279	23	45	13	16
Llama-3.1-8B-Instruct/tulu/seed43	flat_e	off_task	0.5032935458400933	3	0.682958474054471	3	0.022191946375531724	3	0.01815017791402704	3	0.08238745585494422	3	0.03373752631416051	3	3	23902	1509	2122	5790	14481	547	1244	134	280
Llama-3.1-8B-Instruct/tulu/seed44	hns_f4_s1	all	0.4706226932494447	4	0.6617735620342351	4	0.023534352169003743	4	0.019082967494364163	4	0.0854805639366313	4	0.03713882079884627	4	4	24443	1646	2094	6023	14680	620	1118	151	517
