group	comparison	outcome	n_checkpoints	mean_difference	ci_low	ci_high	uncertainty
base_source/Llama-3.1-8B-Instruct/metamath	scalar_e minus flat_e	target	3	-0.5559767500631713	-2.350265352539793	0.7581501137225217	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
base_source/Llama-3.1-8B-Instruct/metamath	scalar_e minus flat_e	off_score	3	0.08218132904567217	-1.8255968450309439	1.110839685454593	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
base_source/Llama-3.1-8B-Instruct/metamath	scalar_e minus flat_e	forgetting_gap	3	0.2090216675755753	0.1011864366228939	0.40283261738866116	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
base_source/Llama-3.1-8B-Instruct/tulu	hns_f4_s1 minus scalar_e	target	3	0.36968576709796724	-1.4787430683918643	1.6635859519408456	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
base_source/Llama-3.1-8B-Instruct/tulu	hns_f4_s1 minus scalar_e	off_score	3	-0.3065686213168372	-1.267044065929781	0.39470535039977506	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
base_source/Llama-3.1-8B-Instruct/tulu	hns_f4_s1 minus scalar_e	forgetting_gap	3	-0.1186336366790594	-0.3559009100371782	0.0	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
base_source/Llama-3.1-8B-Instruct/tulu	hns_f4_s1 minus flat_e	target	3	0.5545286506469486	-0.18484288354898126	1.6635859519408456	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
base_source/Llama-3.1-8B-Instruct/tulu	hns_f4_s1 minus flat_e	off_score	3	0.14889242562496463	-0.1373571237870408	0.4249760991291396	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
base_source/Llama-3.1-8B-Instruct/tulu	hns_f4_s1 minus flat_e	forgetting_gap	3	0.002626101743304484	0.0	0.007878305229913452	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
base_source/Llama-3.1-8B-Instruct/tulu	scalar_e minus flat_e	target	3	0.18484288354898126	-1.1090573012939018	1.6635859519408456	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
base_source/Llama-3.1-8B-Instruct/tulu	scalar_e minus flat_e	off_score	3	0.45546104694180184	-0.5320624741868158	1.4261023674625761	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
base_source/Llama-3.1-8B-Instruct/tulu	scalar_e minus flat_e	forgetting_gap	3	0.12125973842236389	0.0	0.3637792152670916	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
