base	task	seed	module	gain	storage_roundoff_common_gain	effective_common_gain	saved_hns_fro_relative_error	functional_energy_over_hns	source_basis_sha256	nuclear_ratio
Qwen3-8B	magicoder	42	base_model.model.model.layers.15.self_attn.o_proj	0.6370368775375869	1.0000024256607514	0.6370384227729379	1.273669357537699e-06	6.876247163180468	f856614f3c7a74f44bdfc71224befd4117933c65deee79c7f0605cd89e1dd814	0.637036877537587
Qwen3-8B	magicoder	42	base_model.model.model.layers.15.self_attn.q_proj	0.6688528620267112	0.9999998009726561	0.6688527289067027	7.748868471324499e-07	7.410426101432618	fac04075668899b34b19244e31fdb72ace4256347d4737d6e6cf3df919342764	0.6688528620267112
Qwen3-8B	magicoder	42	base_model.model.model.layers.15.self_attn.v_proj	0.6052211304879771	1.0000008341052387	0.6052216353060926	9.595011731811098e-07	8.225078327881402	408b02a7333128fdadcb8a3fc5478a9f530dec633d809d93c938e3477efd9882	0.6052211304879771
Qwen3-8B	magicoder	42	base_model.model.model.layers.16.mlp.down_proj	0.4933052214085831	1.0000014272860254	0.49330592549623187	9.250766457302717e-07	2.0135399117826536	ecdc9827ee22e2deafc138243363c5a76363e0e92ad2e15643aaca23e98861d5	0.4933052214085831
Qwen3-8B	magicoder	42	base_model.model.model.layers.16.mlp.gate_proj	0.6035299762310349	0.9999995323876726	0.6035296940129781	3.9822901842789804e-07	7.4067190422062525	a28726fdb80a0938838b558d1f0ed2a7b95ee42485201ff3e1f808023be45650	0.603529976231035
Qwen3-8B	magicoder	42	base_model.model.model.layers.16.mlp.up_proj	0.5645756777894354	1.0000012111311491	0.5645763615646249	8.191344349484098e-07	8.557095722819154	4488790fcf72c951d908aacdccfa72a5bb25f6ac56dffd47388904ff1bd205eb	0.5645756777894354
Qwen3-8B	magicoder	42	base_model.model.model.layers.16.self_attn.k_proj	0.791758962550631	0.9999989422723232	0.791758125085263	5.541879823933726e-07	2.7058238726421457	b5af388853eef821d76d041e93cc73e1e475e89633d4cc6dc286fb25b20a6030	0.7917589625506312
Qwen3-8B	magicoder	42	base_model.model.model.layers.16.self_attn.o_proj	0.6283725564841065	0.9999993582568728	0.628372153230337	5.409975636361253e-07	6.611903046147608	f265cd5932422836a8a23a996ef7da0e72bae9d2146c2148d11b2066e892dd1c	0.6283725564841065
Qwen3-8B	magicoder	42	base_model.model.model.layers.16.self_attn.q_proj	0.6388408249732613	1.000001414358407	0.6388417285231529	6.870969326833176e-07	8.161788001416081	6f46cc8e7f40423ef29d11e85f566dd793a23aa16770a5cd53239a44bb3e9c60	0.6388408249732612
Qwen3-8B	magicoder	42	base_model.model.model.layers.16.self_attn.v_proj	0.5819092027974426	1.0000010458411577	0.5819098113820369	1.1152690126969844e-06	7.61439852118561	47aeb9d02ecad5279a5b2e28091dd98700ac91c99e067ac5a555e1b7c970e22b	0.5819092027974426
Qwen3-8B	magicoder	42	base_model.model.model.layers.17.mlp.down_proj	0.4959036755087732	0.9999998901693636	0.49590362104335695	7.447267376115008e-07	8.965045664420064	7037c63e308dce7eea7b94cf5fc4603d26654ee7dfe6bd044201769bf6fb4ae7	0.4959036755087731
Qwen3-8B	magicoder	42	base_model.model.model.layers.17.mlp.gate_proj	0.4566107413289795	0.9999994239115603	0.45661047828081	7.463051223677297e-07	10.502579049730395	0c1edc25e8dacc0ddf06bf965992cd6a50621d5dd6df6987514383f839777474	0.45661074132897944
Qwen3-8B	magicoder	42	base_model.model.model.layers.17.mlp.up_proj	0.5041168228422768	1.0000020884985503	0.5041178756895305	1.268933821130247e-06	9.19617582902256	32e1434a5f56416b8238c7cea5eb930696d1c8cd54f73bd1ff39cb8b625acf74	0.5041168228422768
Qwen3-8B	magicoder	42	base_model.model.model.layers.17.self_attn.k_proj	0.7479660259435418	1.0000011897826564	0.747966915860547	1.0900880373920785e-06	2.6975928519228582	0e824370935c3a87d5d06483997919ff793654ec14368923869626c680dd87d3	0.7479660259435418
Qwen3-8B	magicoder	42	base_model.model.model.layers.17.self_attn.o_proj	0.6093542274289426	0.9999988843602613	0.6093535476091516	5.845645567603697e-08	8.083571247723132	ff570c060544b53cb1a380feb72d94600f75302e8692614b81940a114d77252d	0.6093542274289425
Qwen3-8B	magicoder	42	base_model.model.model.layers.17.self_attn.q_proj	0.6826607311934267	1.000000560070011	0.68266111353123	6.803439591696048e-07	6.8643067178352375	2a9107bd51e19869d9fa0876394e6e6d836665ce3848c6bc59948fea6ab8c122	0.6826607311934267
Qwen3-8B	magicoder	42	base_model.model.model.layers.17.self_attn.v_proj	0.5697635370804018	0.9999992516907772	0.5697631107210922	4.024084647724635e-07	7.234531672414221	feff45448908f20d8f2b21dffc577d2aa9fa23f1b76755cd8b132123910eab75	0.5697635370804018
Qwen3-8B	magicoder	42	base_model.model.model.layers.18.mlp.down_proj	0.5268250451013297	0.999998542446669	0.5268242772257303	1.076857380599705e-06	8.334971565141027	9399e1855007a628073f325de92d8eb27fd0347cf6b816be65076d898ff12220	0.5268250451013297
Qwen3-8B	magicoder	42	base_model.model.model.layers.18.mlp.gate_proj	0.49003184645729697	1.0000022618652227	0.49003295484328846	1.2359982353160603e-06	9.908317327724852	2ca0ca7b7b5c618e6b05db970713d0329f3eb8ee2a58909ddfb19ea94989ff56	0.49003184645729697
Qwen3-8B	magicoder	42	base_model.model.model.layers.18.mlp.up_proj	0.5431767607426021	1.0000002833104797	0.5431769146302708	6.35505110757606e-07	8.981006161806388	c1e703468a0e5a2785835d33c5016cdfb32521336bd39cb416a9bcc2b094116c	0.5431767607426021
Qwen3-8B	magicoder	42	base_model.model.model.layers.18.self_attn.k_proj	0.7724402209042694	1.0000005428652334	0.7724406402352103	9.944253027693861e-07	3.208781574425914	2c21929051bfc62ed23057fbbb341031b0e95a0a0c6dbc9ce9490a76ffdb0c97	0.7724402209042696
Qwen3-8B	magicoder	42	base_model.model.model.layers.18.self_attn.o_proj	0.6559542679104742	1.0000007573256076	0.6559547646814387	1.1305234350889037e-06	7.468605446185901	61943151ea032ed69938765ef9faf92e5aced4e900d04f06496210a0f9351c88	0.6559542679104742
Qwen3-8B	magicoder	42	base_model.model.model.layers.18.self_attn.q_proj	0.6222410246942003	0.9999984419570613	0.6222400552159656	3.1764180818960597e-07	7.009493512901001	602573657907686c2d006683e26fb08aa8f94dfd7ad2ff81b2f45acf0b5858de	0.6222410246942003
Qwen3-8B	magicoder	42	base_model.model.model.layers.18.self_attn.v_proj	0.6375211754989172	1.0000005610477392	0.6375215331787314	3.826535508455464e-07	7.070142523398262	ddc24e671cc8e7de02cfb1050621524a2e437b98e2ce85df1a36424ddcae4c4c	0.6375211754989172
Qwen3-8B	magicoder	42	base_model.model.model.layers.19.mlp.down_proj	0.6167222587187922	1.0	0.6167222587187922	7.332786244873546e-07	6.576818708936361	ee59b0556d6b9957679c79f5813cb846d639f83292fad430701ad95ec2e27362	0.6167222587187922
Qwen3-8B	magicoder	42	base_model.model.model.layers.19.mlp.gate_proj	0.409722335215892	0.999999729789495	0.40972222450461293	8.880483743922696e-07	11.129618777312377	cc5388b2413c4d0eda24d59ef75c8e139ca5e3d9fc50902ae0d889db48e45114	0.409722335215892
Qwen3-8B	magicoder	42	base_model.model.model.layers.19.mlp.up_proj	0.5205575125517216	1.000000935767104	0.5205579996723175	5.643616600714552e-07	10.00081105852994	83c5f4114a7aca98d175d3cfe2abcce8a832b9b46507a723cdb3af6113993123	0.5205575125517216
Qwen3-8B	magicoder	42	base_model.model.model.layers.19.self_attn.k_proj	0.7519031009089979	1.000001702880844	0.751904381310385	6.943603445552782e-07	2.0866095451148605	62721a831572ed59dd5eccaa8810b704006fc83f158188c479869e399e536122	0.7519031009089979
Qwen3-8B	magicoder	42	base_model.model.model.layers.19.self_attn.o_proj	0.6679811523158737	1.0000011870392933	0.6679819452357487	1.0514534036776269e-06	6.747820599809067	bbde3271200ce145388dbe8d295b3d2b40b89e964c72aa3a221b9045ff7ffaa7	0.6679811523158737
Qwen3-8B	magicoder	42	base_model.model.model.layers.19.self_attn.q_proj	0.6406853383389607	1.0000013904155873	0.6406862291578417	1.0807751251729059e-06	7.612507154199865	5c7a3a9646ef457da216b5e60ec0b77c44b330e009150b4aad7d4433532a58c0	0.6406853383389607
Qwen3-8B	magicoder	42	base_model.model.model.layers.19.self_attn.v_proj	0.592635916773484	1.0000012032246262	0.5926366298476134	1.1938785051679446e-06	7.633907542411318	544f84500cf894645340a091413a490b3d19fead5d09508afc52ef2ec6f910ca	0.592635916773484
Qwen3-8B	magicoder	42	base_model.model.model.layers.2.mlp.down_proj	0.5679745773670701	1.000000351541802	0.5679747770338764	6.204381168828377e-07	7.862613161562815	35b1ce7bd454af75a211f577efba4559dcfd9f5c1024632fd933c54fa0d0c7b4	0.5679745773670701
Qwen3-8B	magicoder	42	base_model.model.model.layers.2.mlp.gate_proj	0.46158076795436676	0.9999997781734855	0.46158066556351385	1.0072666098981387e-06	12.733101000423114	ed99fec1acc1f86e0db0baf37ac2c0969c3c87604c530fad12d4d1474bca6afe	0.46158076795436676
