group	comparison	metric	n_checkpoints	n_defined	mean_difference	ci_low	ci_high	uncertainty
benchmark/siqa	hns_f4_s1 minus scalar_e	new_success_rate	18	18	0.0004833390196747413	-8.52951211190721e-05	0.0010235414534288637	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/siqa	hns_f4_s1 minus scalar_e	new_damage_rate	18	18	0.0008245195041510294	-0.00042718639827135234	0.0022183839417718606	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/siqa	hns_f4_s1 minus flat_e	recovery_rate	18	18	-0.001915631846210837	-0.011940178653017754	0.008025169100578041	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/siqa	hns_f4_s1 minus flat_e	retention_rate	18	18	-0.0019444266134610233	-0.009235812325555216	0.004956600100618966	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/siqa	hns_f4_s1 minus flat_e	new_success_rate	18	18	-0.0002843170703969066	-0.0005686341407938133	-9.637352644315594e-20	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/siqa	hns_f4_s1 minus flat_e	new_damage_rate	18	18	-0.0003127487774365973	-0.0007107926759922666	0.0001421585351984534	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/siqa	scalar_e minus flat_e	recovery_rate	18	18	-0.006118900238207569	-0.021647901062398937	0.011382604144787338	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/siqa	scalar_e minus flat_e	retention_rate	18	18	0.031621236524954584	0.005173199508413034	0.0588867971982231	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/siqa	scalar_e minus flat_e	new_success_rate	18	18	-0.0007676560900716479	-0.0013362902308654613	-0.00017059024223814413	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/siqa	scalar_e minus flat_e	new_damage_rate	18	18	-0.0011372682815876266	-0.0024451268054133967	-2.8431707039690646e-05	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/winogrande	hns_f4_s1 minus scalar_e	recovery_rate	18	18	0.025184129327748956	-0.004692914170478818	0.0556606146509366	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/winogrande	hns_f4_s1 minus scalar_e	retention_rate	18	18	-0.03288595812909973	-0.07091504907212075	0.0028491185687039232	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/winogrande	hns_f4_s1 minus scalar_e	new_success_rate	18	18	-0.002104709287029729	-0.004823292116109796	0.00017539244058581042	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/winogrande	hns_f4_s1 minus scalar_e	new_damage_rate	18	18	-0.0028939752696658778	-0.005656406208892396	-0.0004823292116109797	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/winogrande	hns_f4_s1 minus flat_e	recovery_rate	18	18	-0.0051015324888960606	-0.012106998357118683	0.0035385335132969344	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/winogrande	hns_f4_s1 minus flat_e	retention_rate	18	18	-0.007927158089462196	-0.01690400624686355	0.0002568721112393379	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/winogrande	hns_f4_s1 minus flat_e	new_success_rate	18	18	-0.0002192405507322633	-0.0006577216521967901	0.0002192405507322635	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/winogrande	hns_f4_s1 minus flat_e	new_damage_rate	18	18	8.769622029290533e-05	-0.00026308866087871636	0.0004384811014645269	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/winogrande	scalar_e minus flat_e	recovery_rate	18	18	-0.030285661816645017	-0.05649084988251775	-0.0025421973907994626	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/winogrande	scalar_e minus flat_e	retention_rate	18	18	0.024958800039637533	-0.007000637730120842	0.0555551085242575	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/winogrande	scalar_e minus flat_e	new_success_rate	18	18	0.001885468736297466	-0.0001753924405858107	0.004385907217398925	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/winogrande	scalar_e minus flat_e	new_damage_rate	18	18	0.0029816714899587823	0.0005261773217574324	0.005876742962378314	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
family/magicoder	hns_f4_s1 minus scalar_e	recovery_rate	18	18	-0.0019150028136956253	-0.07173645005140104	0.0686577974343497	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
family/magicoder	hns_f4_s1 minus scalar_e	retention_rate	18	18	-0.013605999411937904	-0.06303563836490664	0.039234785233857275	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
family/magicoder	hns_f4_s1 minus scalar_e	new_success_rate	18	18	0.0010162601626016266	-0.0033875338753387527	0.005420054200542007	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
family/magicoder	hns_f4_s1 minus scalar_e	new_damage_rate	18	18	0.0013550135501355014	-0.0020325203252032514	0.00508130081300813	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
family/magicoder	hns_f4_s1 minus flat_e	recovery_rate	18	18	-0.00527135150791065	-0.026371895478078274	0.014758698092031418	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
family/magicoder	hns_f4_s1 minus flat_e	retention_rate	18	18	0.011027361939344957	-0.006042948707649157	0.027702197197955407	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
family/magicoder	hns_f4_s1 minus flat_e	new_success_rate	18	18	-0.0003387533875338746	-0.003048780487804878	0.0020325203252032535	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
family/magicoder	hns_f4_s1 minus flat_e	new_damage_rate	18	18	-0.0006775067750677507	-0.0033875338753387527	0.002371273712737128	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
family/magicoder	scalar_e minus flat_e	recovery_rate	18	18	-0.0033563486942150248	-0.06244857630880454	0.05886210008785383	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
family/magicoder	scalar_e minus flat_e	retention_rate	18	18	0.024633361351282863	-0.028540679064605376	0.07231552149811694	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
