base	task	seed	method	epsilon	module	input_dim	output_dim	source_rank	retained_rank	zero_rank	scaling_before	scaling_after	parameters_before	parameters_after	parameter_ratio	energy_before	energy_after	saved_factor_relative_error	sigma_before	sigma_retained
Llama-3.1-8B-Instruct	magicoder	43	para_e95	0.95	base_model.model.model.layers.25.self_attn.o_proj	4096	4096	16	10	False	2.0	2.0	131072	81920	0.625	0.049118046526660075	0.04186241482776221	3.218644625761434e-09	[0.05158845707774162,0.048575688153505325,0.034228384494781494,0.030098242685198784,0.02821236476302147,0.026247840374708176,0.02275923825800419,0.02255241386592388,0.020978452637791634,0.02038564160466194,0.019678251817822456,0.018470514565706253,0.017960814759135246,0.016757311299443245,0.016400204971432686,0.014599635265767574]	[0.05158845707774162,0.048575688153505325,0.034228384494781494,0.030098242685198784,0.02821236476302147,0.026247840374708176,0.02275923825800419,0.02255241386592388,0.020978452637791634,0.02038564160466194]
Llama-3.1-8B-Instruct	magicoder	43	para_e95	0.95	base_model.model.model.layers.25.self_attn.q_proj	4096	4096	16	8	False	2.0	2.0	131072	65536	0.5	0.03870652979652759	0.028817293466391128	0.0	[0.05160094425082207,0.034170035272836685,0.026669146493077278,0.0252890232950449,0.02383982576429844,0.02320811338722706,0.021680377423763275,0.021125907078385353,0.020155102014541626,0.01913321763277054,0.01882830448448658,0.017999934032559395,0.017099546268582344,0.01649465411901474,0.015558524988591671,0.014661598019301891]	[0.05160094425082207,0.034170035272836685,0.026669146493077278,0.0252890232950449,0.02383982576429844,0.02320811338722706,0.021680377423763275,0.021125907078385353]
Llama-3.1-8B-Instruct	magicoder	43	para_e95	0.95	base_model.model.model.layers.25.self_attn.v_proj	4096	1024	16	2	False	2.0	2.0	81920	10240	0.125	0.013376050530594964	0.010278021987537855	0.0	[0.0424823984503746,0.027654137462377548,0.015115197747945786,0.01188630424439907,0.008312544785439968,0.007251088507473469,0.006808596663177013,0.006265280768275261,0.005845022853463888,0.005405917298048735,0.005161421373486519,0.005029821302741766,0.004936586134135723,0.004776283632963896,0.0042857760563492775,0.004072841256856918]	[0.0424823984503746,0.027654137462377548]
Llama-3.1-8B-Instruct	magicoder	43	para_e95	0.95	base_model.model.model.layers.26.mlp.down_proj	14336	4096	16	3	False	2.0	2.0	294912	55296	0.1875	0.05275458353031666	0.044863823323947796	0.0	[0.10147564113140106,0.022543609142303467,0.02025921456515789,0.017358455806970596,0.016337549313902855,0.014168177731335163,0.013710806146264076,0.012455894611775875,0.011636404320597649,0.011293386109173298,0.011061732657253742,0.010431098751723766,0.010030793026089668,0.009814106859266758,0.009694638662040234,0.008691951632499695]	[0.10147564113140106,0.022543609142303467,0.02025921456515789]
Llama-3.1-8B-Instruct	magicoder	43	para_e95	0.95	base_model.model.model.layers.26.mlp.gate_proj	4096	14336	16	16	False	2.0	2.0	294912	294912	1.0	0.5214001936834761	0.5214001936834761	0.0	[0.3397676944732666,0.05031566321849823,0.042842671275138855,0.03610794618725777,0.033907148987054825,0.033767178654670715,0.03168613836169243,0.030097652226686478,0.029359010979533195,0.02869289368391037,0.026680544018745422,0.025709068402647972,0.023873072117567062,0.022780530154705048,0.021687662228941917,0.02049265056848526]	[0.3397676944732666,0.05031566321849823,0.042842671275138855,0.03610794618725777,0.033907148987054825,0.033767178654670715,0.03168613836169243,0.030097652226686478,0.029359010979533195,0.02869289368391037,0.026680544018745422,0.025709068402647972,0.023873072117567062,0.022780530154705048,0.021687662228941917,0.02049265056848526]
Llama-3.1-8B-Instruct	magicoder	43	para_e95	0.95	base_model.model.model.layers.26.mlp.up_proj	4096	14336	16	16	False	2.0	2.0	294912	294912	1.0	0.29192257322247356	0.29192257322247356	0.0	[0.23240552842617035,0.060624852776527405,0.05286916345357895,0.04743499681353569,0.03807481750845909,0.03728144243359566,0.03403129801154137,0.03223465383052826,0.031011877581477165,0.0305087361484766,0.026169797405600548,0.024955376982688904,0.02444314770400524,0.02273903600871563,0.02173163928091526,0.0205905232578516]	[0.23240552842617035,0.060624852776527405,0.05286916345357895,0.04743499681353569,0.03807481750845909,0.03728144243359566,0.03403129801154137,0.03223465383052826,0.031011877581477165,0.0305087361484766,0.026169797405600548,0.024955376982688904,0.02444314770400524,0.02273903600871563,0.02173163928091526,0.0205905232578516]
Llama-3.1-8B-Instruct	magicoder	43	para_e95	0.95	base_model.model.model.layers.26.self_attn.k_proj	4096	1024	16	1	False	2.0	2.0	81920	5120	0.0625	0.011865759058357479	0.005604457868714441	0.0	[0.03743146359920502,0.016189834102988243,0.015680698677897453,0.013942219316959381,0.012906310148537159,0.010823783464729786,0.010204414837062359,0.009354006499052048,0.008905833587050438,0.00810322817414999,0.008004751987755299,0.006882611196488142,0.0063006458804011345,0.00613607419654727,0.005574997514486313,0.00476837670430541]	[0.03743146359920502]
Llama-3.1-8B-Instruct	magicoder	43	para_e95	0.95	base_model.model.model.layers.26.self_attn.o_proj	4096	4096	16	6	False	2.0	2.0	131072	49152	0.375	0.04555173626182861	0.03716951999561953	0.0	[0.07141098380088806,0.04189639911055565,0.030224794521927834,0.025230344384908676,0.02148543670773506,0.020635180175304413,0.019662925973534584,0.01685553602874279,0.015849275514483452,0.014897899702191353,0.014759629964828491,0.014041611924767494,0.012342569418251514,0.012083199806511402,0.011606202460825443,0.010178759694099426]	[0.07141098380088806,0.04189639911055565,0.030224794521927834,0.025230344384908676,0.02148543670773506,0.020635180175304413]
Llama-3.1-8B-Instruct	magicoder	43	para_e95	0.95	base_model.model.model.layers.26.self_attn.q_proj	4096	4096	16	4	False	2.0	2.0	131072	32768	0.25	0.053280018056544184	0.04151267819931656	0.0	[0.08978668600320816,0.033200595527887344,0.025209492072463036,0.024056652560830116,0.019891131669282913,0.018904656171798706,0.01835853047668934,0.017671117559075356,0.01600426249206066,0.015240238048136234,0.014864425174891949,0.01462142076343298,0.01401254627853632,0.013081607408821583,0.011836735531687737,0.010428864508867264]	[0.08978668600320816,0.033200595527887344,0.025209492072463036,0.024056652560830116]
Llama-3.1-8B-Instruct	magicoder	43	para_e95	0.95	base_model.model.model.layers.26.self_attn.v_proj	4096	1024	16	2	False	2.0	2.0	81920	10240	0.125	0.014856294432194765	0.011233718265632797	0.0	[0.04530858248472214,0.027487486600875854,0.01470857858657837,0.012728464789688587,0.010014488361775875,0.009460978209972382,0.0073480685241520405,0.007310868240892887,0.006540184840559959,0.006353080738335848,0.005792619194835424,0.0054025775752961636,0.005118820816278458,0.00464716088026762,0.0044957613572478294,0.0040195416659116745]	[0.04530858248472214,0.027487486600875854]
Llama-3.1-8B-Instruct	magicoder	43	para_e95	0.95	base_model.model.model.layers.27.mlp.down_proj	14336	4096	16	2	False	2.0	2.0	294912	36864	0.125	0.0532080097529034	0.047802835459115345	0.0	[0.10456986725330353,0.031872428953647614,0.014786623418331146,0.01362214982509613,0.012213432230055332,0.010939129628241062,0.00999238807708025,0.009800316765904427,0.009272750467061996,0.008581390604376793,0.008509073406457901,0.007831918075680733,0.007383338175714016,0.006968787871301174,0.0067010074853897095,0.006404001731425524]	[0.10456986725330353,0.031872428953647614]
Llama-3.1-8B-Instruct	magicoder	43	para_e95	0.95	base_model.model.model.layers.27.mlp.gate_proj	4096	14336	16	15	False	2.0	2.0	294912	276480	0.9375	0.5312742831824452	0.5296351672493631	0.0	[0.34425440430641174,0.04793381690979004,0.04501822590827942,0.0370219387114048,0.03479290008544922,0.03358950465917587,0.030603593215346336,0.029615581035614014,0.029300853610038757,0.026024827733635902,0.02438284456729889,0.02338539995253086,0.02196047082543373,0.021431341767311096,0.020773103460669518,0.020242998376488686]	[0.34425440430641174,0.04793381690979004,0.04501822590827942,0.0370219387114048,0.03479290008544922,0.03358950465917587,0.030603593215346336,0.029615581035614014,0.029300853610038757,0.026024827733635902,0.02438284456729889,0.02338539995253086,0.02196047082543373,0.021431341767311096,0.020773103460669518]
