group	method	name	n	target	off_score	forgetting_gap	target_gain_lora	target_gain_hns	off_score_gain_lora	off_score_gain_hns	fg_reduction_lora	fg_reduction_hns	functional_pr	cov_functional_pr	functional_rms_ratio	functional_squared_energy_ratio	target_gain_lora_wtl	target_gain_hns_wtl	off_score_gain_lora_wtl	off_score_gain_hns_wtl	fg_reduction_lora_wtl	fg_reduction_hns_wtl	pareto_vs_hns
seed/42	hns_f4_s1	HNS α=0 (4+1)	6	72.39879260524103	72.69376517698261	0.48802806748811517	3.8630304970078826	0.0	3.1706513569160406	0.0	2.0604516947343656	0.0	8.031323655463144	6.068303724764369	0.30478099913037116	0.11437412183416346	[6, 0, 0]	[0, 6, 0]	[5, 0, 1]	[0, 6, 0]	[5, 1, 0]	[0, 6, 0]	0
seed/42	functional_hns_a05	Functional-HNS α=0.5	6	72.11263574180295	72.39925253082995	0.4522161250634373	3.5768736335698024	-0.2861568634380802	2.8761387107633816	-0.2945126461526589	2.0962636371590433	0.03581194242467786	13.055029066145462	9.327361882018913	0.24494974451828033	0.08240257875162123	[6, 0, 0]	[4, 0, 2]	[5, 0, 1]	[2, 0, 4]	[5, 1, 0]	[1, 3, 2]	2
seed/42	functional_hns_a10	Functional-HNS α=1	6	71.76985018733633	72.16584819681763	0.4468835868300872	3.234088079103189	-0.6289424179046937	2.6427343767510627	-0.5279169801649779	2.1015961753923933	0.04114448065802792	15.981911955132789	12.293184990573124	0.2250482735429916	0.07149821017061958	[6, 0, 0]	[2, 2, 2]	[5, 0, 1]	[2, 0, 4]	[5, 1, 0]	[2, 3, 1]	1
seed/42	functional_flat	Protected Exact Functional Flat	6	71.7085373903086	72.07221131609997	0.5594451432581147	3.1727752820754644	-0.6902552149324185	2.5490974960334007	-0.6215538608826398	1.989034618964366	-0.07141707576999955	15.999999999999963	12.345254489929587	0.22415914650276852	0.07132109277791177	[6, 0, 0]	[3, 1, 2]	[5, 0, 1]	[2, 0, 4]	[5, 1, 0]	[0, 3, 3]	1
seed/43	original_lora	LoRA	6	67.83044426676078	69.8838641972521	2.410092076142562	0.0	-4.30070686734203	0.0	-3.249773273337386	0.0	-2.1020206035609235	1.970905763181343	1.7929865891132626	1.0	1.0	[0, 6, 0]	[1, 0, 5]	[0, 6, 0]	[1, 0, 5]	[0, 6, 0]	[0, 2, 4]	0
seed/43	hns_f4_s1	HNS α=0 (4+1)	6	72.13115113410281	73.13363747058948	0.3080714725816386	4.30070686734203	0.0	3.249773273337386	0.0	2.1020206035609235	0.0	7.081906950559289	5.088655791671778	0.2804557609728542	0.08939061832364331	[5, 0, 1]	[0, 6, 0]	[5, 0, 1]	[0, 6, 0]	[4, 2, 0]	[0, 6, 0]	0
seed/43	functional_hns_a05	Functional-HNS α=0.5	6	71.96496577534951	73.03141156653521	0.1437666872047648	4.134521508588732	-0.16618535875329835	3.1475473692831195	-0.1022259040542662	2.2663253889377972	0.16430478537687382	12.572387321368307	8.574446538746143	0.2075756951766624	0.05479759437849347	[5, 0, 1]	[2, 0, 4]	[4, 0, 2]	[3, 0, 3]	[4, 2, 0]	[2, 4, 0]	1
seed/43	functional_hns_a10	Functional-HNS α=1	6	71.56634977899166	72.78887488259791	0.21214365475407723	3.7359055122308775	-0.5648013551111527	2.905010685345823	-0.34476258799156295	2.197948421388485	0.09592781782756138	15.98214391402899	12.04449475283988	0.18571143127436293	0.045291259505492544	[5, 0, 1]	[2, 1, 3]	[4, 0, 2]	[1, 0, 5]	[4, 1, 1]	[1, 3, 2]	0
seed/43	functional_flat	Protected Exact Functional Flat	6	71.12061116357955	72.90622999785566	0.15882647904125985	3.290166896818769	-1.0105399705232614	3.022365800603571	-0.2274074727338148	2.2512655971013023	0.14924499354037876	15.999999999999964	12.042191573674158	0.18508830237641688	0.04514236386371764	[5, 0, 1]	[2, 0, 4]	[4, 0, 2]	[2, 0, 4]	[4, 1, 1]	[2, 3, 1]	2
seed/44	original_lora	LoRA	6	67.62773156867095	69.24664892471748	3.165926195449196	0.0	-4.09264340772907	0.0	-3.3004860098761846	0.0	-2.9297380664699397	1.9088325030801325	1.7525503312838977	1.0	1.0	[0, 6, 0]	[0, 1, 5]	[0, 6, 0]	[1, 0, 5]	[0, 6, 0]	[0, 1, 5]	0
seed/44	hns_f4_s1	HNS α=0 (4+1)	6	71.72037497640002	72.54713493459367	0.23618812897925662	4.09264340772907	0.0	3.3004860098761846	0.0	2.9297380664699397	0.0	6.922195637895179	5.020054103311673	0.27840640242826836	0.08794721636592845	[5, 1, 0]	[0, 6, 0]	[5, 0, 1]	[0, 6, 0]	[5, 1, 0]	[0, 6, 0]	0
seed/44	functional_hns_a05	Functional-HNS α=0.5	6	72.24638541112414	72.32811644980163	0.16473234947827306	4.6186538424531856	0.5260104347241162	3.0814675250841375	-0.21901848479204725	3.0011938459709233	0.07145577950098354	12.55688370100149	8.591781879223273	0.20564637989256593	0.05357144704959147	[6, 0, 0]	[4, 0, 2]	[5, 0, 1]	[2, 0, 4]	[5, 1, 0]	[1, 4, 1]	2
seed/44	functional_hns_a10	Functional-HNS α=1	6	71.4510092586418	71.89737032204216	0.20799614933116534	3.82327768997085	-0.2693657177582196	2.650721397324675	-0.6497646125515099	2.957930046118031	0.028191979648091278	15.981864925133046	12.000859548097864	0.1837425434318092	0.04411337036305255	[6, 0, 0]	[5, 0, 1]	[4, 0, 2]	[2, 0, 4]	[5, 1, 0]	[1, 3, 2]	2
seed/44	functional_flat	Protected Exact Functional Flat	6	71.13583742763221	72.0430533352635	0.21941310933163016	3.5081058589612497	-0.5845375487678197	2.7964044105460046	-0.50408159933018	2.9465130861175663	0.01677501964762644	15.999999999999963	12.003581092634631	0.18312728189441446	0.043985700601142035	[6, 0, 0]	[4, 0, 2]	[4, 0, 2]	[1, 0, 5]	[5, 1, 0]	[1, 3, 2]	1
