base	train_task	seed	method	target	target_gain	base_off	off_score	off_gain_lora	off_gain_hns	forgetting_gap
Llama-3.1-8B-Instruct	magicoder	44	dg_hard	53.65853658536586	0.0	65.24069759712567	62.16359910257801	0.0	-4.141946337645497	4.138508653759189
Llama-3.1-8B-Instruct	magicoder	44	hns_f4_s1	53.65853658536586	0.0	65.24069759712567	66.30554544022351	4.141946337645497	0.0	1.5403573629081915
Llama-3.1-8B-Instruct	metamath	42	original_lora	77.25549658832449	0.0	61.921787607419255	57.818716309118	0.0	-5.334442603416875	4.71282739586223
Llama-3.1-8B-Instruct	metamath	42	flat_fro	79.98483699772555	2.729340409401061	61.921787607419255	61.13870470613177	3.3199883970137614	-2.0144542064031135	2.2058471289297663
Llama-3.1-8B-Instruct	metamath	42	flat_nuclear	80.89461713419257	3.6391205458680815	61.921787607419255	63.241029624404554	5.422313315286549	0.08787071186967428	1.3230344057789314
Llama-3.1-8B-Instruct	metamath	42	dg_hard	77.25549658832449	0.0	61.921787607419255	57.818716309118	0.0	-5.334442603416875	4.71282739586223
Llama-3.1-8B-Instruct	metamath	42	hns_f4_s1	80.81880212282032	3.563305534495825	61.921787607419255	63.15315891253488	5.334442603416875	0.0	1.817409182689256
Llama-3.1-8B-Instruct	metamath	43	original_lora	74.82941622441244	0.0	61.921787607419255	58.31673743111644	0.0	-3.775645089424927	4.214806273863796
Llama-3.1-8B-Instruct	metamath	43	flat_fro	76.80060652009098	1.9711902956785394	61.921787607419255	61.14397331639401	2.827235885277574	-0.9484092041473531	1.3875703885862218
Llama-3.1-8B-Instruct	metamath	43	flat_nuclear	78.77179681576952	3.942380591357079	61.921787607419255	61.62838703698648	3.31164960587004	-0.4639954835548868	0.43130006161429196
Llama-3.1-8B-Instruct	metamath	43	dg_hard	74.82941622441244	0.0	61.921787607419255	58.31673743111644	0.0	-3.775645089424927	4.214806273863796
Llama-3.1-8B-Instruct	metamath	43	hns_f4_s1	78.39272175890827	3.563305534495825	61.921787607419255	62.09238252054136	3.775645089424927	0.0	0.3696857670979625
Llama-3.1-8B-Instruct	metamath	44	original_lora	74.60197119029569	0.0	61.921787607419255	59.58112060723601	0.0	-2.9695441904598994	3.356927162784873
